selling_price,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
1.2,120000,19.7,796,46.3,11,MARUTI,ALTO STD,1,0,0,0,0,1,1,1,0
5.5,20000,18.9,1197,82,7,HYUNDAI,GRAND I10 ASTA,1,0,0,0,0,1,1,1,0
2.15,60000,17,1197,80,13,HYUNDAI,I20 ASTA,1,0,0,0,0,1,1,1,0
2.26,37000,20.92,998,67.1,11,MARUTI,ALTO K10 2010-2014 VXI,1,0,0,0,0,1,1,1,0
5.7,30000,22.77,1498,98.59,8,FORD,ECOSPORT 2015-2021 1.5 TDCI TITANIUM BSIV,0,0,1,0,0,0,1,1,0
3.5,35000,18.9,998,67.1,10,MARUTI,WAGON R VXI BS IV,1,0,0,0,0,1,1,1,0
3.15,40000,20.36,1197,78.9,10,HYUNDAI,I10 SPORTZ 1.2,0,0,0,0,0,1,1,1,0
4.1,17512,20.51,998,67.04,5,MARUTI,WAGON R VXI,0,0,0,0,0,1,1,1,0
10.5,20000,18.15,998,118.35,4,HYUNDAI,VENUE SX PLUS TURBO DCT BSIV,1,0,0,0,0,1,0,1,0
5.75,70000,18.49,1493,100,6,MAHINDRA,TUV 300 T6,0,0,1,0,0,0,1,0,1
3.05,50000,19.09,1405,69.01,8,TATA,INDIGO LX (TDI) BS-III,1,0,1,0,0,0,1,1,0
11.5,18000,20.37,1461,108.49,4,RENAULT,CAPTUR PLATINE DUAL TONE DIESEL,1,0,1,0,0,0,1,1,0
5.11,28321,16.6,1197,85,6,MARUTI,SWIFT VXI WITH ABS,0,0,0,0,0,1,1,1,0
4.1,27000,19.34,1198,76,7,NISSAN,MICRA XL CVT,0,0,0,0,0,1,0,1,0
4.25,65278,22.32,1582,126.32,10,HYUNDAI,VERNA 1.6 SX,0,0,1,0,0,0,1,1,0
7.5,50000,19.64,1461,108.45,7,RENAULT,DUSTER 110PS DIESEL RXL EXPLORE,1,0,1,0,0,0,1,1,0
20.9025,6000,14.41,1998,189.08,6,MINI,COOPER COOPER S,0,0,0,0,0,1,0,1,0
6.5,76000,28.09,1248,88.5,7,MARUTI,CIAZ ZDI PLUS SHVS,0,0,1,0,0,0,1,1,0
6.27,20000,25.2,1248,74,7,MARUTI,SWIFT VDI BSIV,1,0,1,0,0,0,1,1,0
14.25,65000,19.27,2143,170,9,MERCEDES-BENZ,C-CLASS C 220 CDI AVANTGARDE,0,0,1,0,0,0,0,1,0
4.25,62200,28.4,1248,74,9,MARUTI,SWIFT VDI,0,0,1,0,0,0,1,1,0
6.05,110000,12.99,2494,100.6,10,TOYOTA,INNOVA 2.5 GX (DIESEL) 8 SEATER,1,0,1,0,0,0,1,0,1
6,20000,21.4,1197,83.1,8,MARUTI,BALENO ZETA 1.2,1,0,0,0,0,1,1,1,0
5.75,40000,20.85,1197,83.14,7,MARUTI,SWIFT DZIRE VXI,1,0,0,0,0,1,1,1,0
2.6,97000,17.8,1248,76,11,FIAT,GRANDE PUNTO 1.3 EMOTION PACK (DIESEL),1,0,1,0,0,0,1,1,0
4.25,47000,16.09,1598,103.2,10,VOLKSWAGEN,VENTO 1.6 COMFORTLINE BSIV,0,0,0,0,0,1,1,1,0
2.3,25000,20.92,998,67.1,10,MARUTI,ALTO K10 2010-2014 VXI,0,0,0,0,0,1,1,1,0
12.25,15000,19.67,1582,126.2,4,HYUNDAI,CRETA 1.6 CRDI SX,1,0,1,0,0,0,1,1,0
3.75,56823,14.02,2179,118.3,13,MAHINDRA,XYLO H9,0,0,1,0,0,0,1,0,1
7.5,50000,17.4,1497,117.3,8,HONDA,CITY I VTEC VX,1,0,0,0,0,1,1,1,0
3.5,25000,13.6,2523,63,12,MAHINDRA,BOLERO SLE BSIII,1,0,1,0,0,0,1,0,1
6,90000,26.59,1248,74,8,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
3.9,45000,26.59,1248,74,10,MARUTI,SWIFT DZIRE LDI,0,0,1,0,0,0,1,1,0
1.45,77253,17.7,1497,78,16,HONDA,CITY 2017-2020 GXI,0,0,0,0,0,1,1,1,0
7,25000,17.19,1197,81.86,5,HYUNDAI,I20 ACTIVE 1.2 SX,1,0,0,0,0,1,1,1,0
11.5,110000,13,2982,168.5,10,TOYOTA,FORTUNER 4X2 MANUAL,1,0,1,0,0,0,1,0,1
3.4,30000,23.01,999,67,6,RENAULT,KWID CLIMBER 1.0 MT,1,0,0,0,0,1,1,1,0
4.65,39993,18.6,1199,88.76,7,HONDA,AMAZE S PETROL,0,0,0,0,0,1,1,1,0
1.25,80000,17.92,1086,62.1,14,HYUNDAI,SANTRO XING GLS,1,0,0,0,0,1,1,1,0
6,185000,15.1,2179,140,11,MAHINDRA,XUV500 W8 2WD,1,0,1,0,0,0,1,0,1
3.8,90000,23.4,1248,74,10,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
4,60000,14,2498,112,14,MAHINDRA,XYLO E8,1,0,1,0,0,0,1,0,1
3,90000,22.1,1248,74,9,CHEVROLET,SAIL 1.3 BASE,1,0,1,0,0,0,1,1,0
5,20000,19.1,1197,82,8,HYUNDAI,XCENT 1.2 KAPPA SX,1,0,0,0,0,1,1,1,0
8.5,15000,22.54,1396,88.73,5,HYUNDAI,I20 1.4 ASTA OPTION,1,0,1,0,0,0,1,1,0
5.98,40000,18.6,1197,81.83,5,HYUNDAI,I20 1.2 MAGNA EXECUTIVE,1,0,0,0,0,1,1,1,0
7,31180,18,1497,117.3,8,HONDA,CITY I VTEC CVT SV,0,0,0,0,0,1,0,1,0
9,40000,18.49,1493,100,5,MAHINDRA,TUV 300 MHAWK100 T8 AMT,1,0,1,0,0,0,0,0,1
0.75,50000,16.1,796,37,19,MARUTI,800 STD,1,0,0,0,0,1,1,0,0
3,58000,19.09,1396,69,8,TATA,INDIGO LS TDI BSIII,1,0,1,0,0,0,1,1,0
4.1,56000,23.4,1248,74,9,MARUTI,SWIFT DZIRE ZDI,0,0,1,0,0,0,1,1,0
3,93000,20.5,1248,91.7,12,FIAT,GRANDE PUNTO 1.3 EMOTION PACK 90HP (DIESEL),1,0,1,0,0,0,1,1,0
2.25,86000,12.2,1817,75,13,AMBASSADOR,AVIGO 1800 ISZ MPFI AC,0,0,0,0,0,1,1,1,0
3,120000,17.8,1248,5,12,MARUTI,SWIFT VDI BSIV,1,0,1,0,0,0,1,1,0
5.9,52427,21.4,1197,83.1,7,MARUTI,BALENO ZETA AUTOMATIC,0,0,0,0,0,1,0,1,0
8.5,40000,21,1498,74.96,3,MAHINDRA,BOLERO B6,1,0,1,0,0,0,1,0,1
1.08,70000,26,624,35,12,TATA,NANO CX BSIV,1,0,0,0,0,1,1,0,0
5.5,17000,18.15,1198,82,5,MAHINDRA,KUV100 NXT G80 K8 5STR BSIV,1,0,0,0,0,1,1,1,0
3.25,54325,17.6,1496,88.73,11,TOYOTA,ETIOS G,0,0,0,0,0,1,1,1,0
6.25,22000,15.4,1590,94,7,MARUTI,BALENO VXI - BSIII,0,0,0,0,0,1,1,1,0
6,54000,20.85,1197,83.14,7,MARUTI,SWIFT DZIRE ZXI,1,0,0,0,0,1,1,1,0
4.45,10000,20.51,998,67.04,4,MARUTI,WAGON R LXI OPTIONAL,1,0,0,0,0,1,1,1,0
5.3,20000,20.89,1197,81.8,4,MARUTI,IGNIS 1.2 DELTA BSIV,1,0,0,0,0,1,1,1,0
3.85,61000,14.53,1798,138.1,12,TOYOTA,COROLLA ALTIS GL,0,0,0,0,0,1,1,1,0
4.1,53237,26.6,998,58.16,5,MARUTI,WAGON R LXI CNG,0,1,0,0,0,0,1,1,0
