Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
1,5,2,0,0,50.00,7,lbw,1,,v Pakistan,Mohali,1 Apr 1999,ODI # 1427
19,18,24,0,1,79.16,6,caught,1,,v Zimbabwe,Rajkot,14 Dec 2000,ODI # 1660
58,62,54,8,0,107.40,6,bowled,1,,v Australia,Bengaluru,25 Mar 2001,ODI # 1696
2,7,7,0,0,28.57,6,caught,2,,v Zimbabwe,Bulawayo,27 Jun 2001,ODI # 1730
11,19,16,1,0,68.75,6,not out,2,,v West Indies,Bulawayo,30 Jun 2001,ODI # 1731
4,9,9,1,0,44.44,3,stumped,2,,v West Indies,Harare,4 Jul 2001,ODI # 1733
2,12,7,0,0,28.57,5,caught,2,,v West Indies,Harare,7 Jul 2001,ODI # 1734
0,2,3,0,0,0.00,6,caught,2,,v New Zealand,Colombo (RPS),20 Jul 2001,ODI # 1736
12,17,14,0,0,85.71,8,caught,2,,v Sri Lanka,Colombo (RPS),22 Jul 2001,ODI # 1737
33,59,54,3,0,61.11,2,run out,2,,v New Zealand,Colombo (RPS),26 Jul 2001,ODI # 1739
27,60,41,5,0,65.85,2,caught,2,,v Sri Lanka,Colombo (RPS),28 Jul 2001,ODI # 1740
0,1,1,0,0,0.00,1,lbw,1,,v Sri Lanka,Colombo (SSC),1 Aug 2001,ODI # 1742
100,97,70,19,1,142.85,2,bowled,2,,v New Zealand,Colombo (SSC),2 Aug 2001,ODI # 1743
4,8,4,1,0,100.00,2,run out,2,,v Sri Lanka,Colombo (RPS),5 Aug 2001,ODI # 1744
5,9,5,0,0,100.00,5,caught,1,,v South Africa,Johannesburg,5 Oct 2001,ODI # 1752
33,32,27,4,1,122.22,6,caught,1,,v South Africa,Centurion,10 Oct 2001,ODI # 1757
55,50,43,11,0,127.90,2,not out,2,,v Kenya,Bloemfontein,12 Oct 2001,ODI # 1758
4,8,5,0,0,80.00,6,caught,2,,v South Africa,East London,19 Oct 2001,ODI # 1762
55,35,23,7,3,239.13,3,not out,1,,v Kenya,Paarl,24 Oct 2001,ODI # 1764
34,80,58,4,1,58.62,3,caught,1,,v South Africa,Durban,26 Oct 2001,ODI # 1766
29,42,37,5,0,78.37,5,bowled,1,,v England,Kolkata,19 Jan 2002,ODI # 1788
5,11,10,0,0,50.00,5,caught,2,,v England,Cuttack,22 Jan 2002,ODI # 1792
51,81,58,8,0,87.93,2,caught,2,,v England,Chennai,25 Jan 2002,ODI # 1795
82,70,62,14,0,132.25,2,caught,2,,v England,Kanpur,28 Jan 2002,ODI # 1798
42,49,36,7,0,116.66,1,caught,2,,v England,Delhi,31 Jan 2002,ODI # 1800
31,59,29,4,1,106.89,1,caught,2,,v England,Wankhede,3 Feb 2002,ODI # 1803
21,44,36,3,0,58.33,2,caught,2,,v West Indies,Bridgetown,29 May 2002,ODI # 1836
0,2,1,0,0,0.00,2,caught,1,,v West Indies,Port of Spain,1 Jun 2002,ODI # 1837
32,38,32,6,0,100.00,2,caught,1,,v West Indies,Port of Spain,2 Jun 2002,ODI # 1838
71,85,65,9,1,109.23,2,caught,2,,v England,Lord's,29 Jun 2002,ODI # 1848
12,34,20,2,0,60.00,2,caught,2,,v Sri Lanka,The Oval,30 Jun 2002,ODI # 1849
16,35,19,2,0,84.21,2,caught,1,,v England,Chester-le-Street,4 Jul 2002,ODI # 1851
0,1,1,0,0,0.00,1,bowled,2,,v Sri Lanka,Birmingham,6 Jul 2002,ODI # 1852
46,42,41,8,1,112.19,1,caught,2,,v England,The Oval,9 Jul 2002,ODI # 1854
39,61,40,6,0,97.50,2,run out,1,,v Sri Lanka,Bristol,11 Jul 2002,ODI # 1855
45,77,49,7,0,91.83,1,bowled,2,,v England,Lord's,13 Jul 2002,ODI # 1856
48,65,36,8,0,133.33,2,caught,1,,v Zimbabwe,Colombo (RPS),14 Sep 2002,ODI # 1876
