#date	step_count	mood	calories_burned	hours_of_sleep	active
06-10-2017	5464	Neutral	181	5	Inactive
07-10-2017	6041	Sad	197	8	Inactive
08-10-2017	25	Sad	0	5	Inactive
09-10-2017	5461	Sad	174	4	Inactive
10-10-2017	6915	Neutral	223	5	Active
11-10-2017	4545	Sad	149	6	Inactive
12-10-2017	4340	Sad	140	6	Inactive
13-10-2017	1230	Sad	38	7	Inactive
14-10-2017	61	Sad	1	5	Inactive
15-10-2017	1258	Sad	40	6	Inactive
16-10-2017	3148	Sad	101	8	Inactive
17-10-2017	4687	Sad	152	5	Inactive
18-10-2017	4732	Happy	150	6	Active
19-10-2017	3519	Sad	113	7	Inactive
20-10-2017	1580	Sad	49	5	Inactive
21-10-2017	2822	Sad	86	6	Inactive
22-10-2017	181	Sad	6	8	Inactive
23-10-2017	3158	Neutral	99	5	Inactive
24-10-2017	4383	Neutral	143	4	Inactive
25-10-2017	3881	Neutral	125	5	Inactive
26-10-2017	4037	Neutral	129	6	Inactive
27-10-2017	202	Neutral	6	8	Inactive
28-10-2017	292	Neutral	9	5	Inactive
29-10-2017	330	Happy	10	6	Inactive
30-10-2017	2209	Neutral	72	5	Inactive
31-10-2017	4550	Happy	150	8	Active
01-11-2017	4435	Happy	141	5	Inactive
02-11-2017	4779	Happy	156	4	Inactive
03-11-2017	1831	Happy	57	5	Inactive
04-11-2017	2255	Happy	72	4	Inactive
05-11-2017	539	Happy	17	5	Active
06-11-2017	5464	Happy	181	4	Inactive
07-11-2017	6041	Neutral	197	3	Inactive
08-11-2017	4068	Happy	131	2	Inactive
09-11-2017	4683	Happy	154	9	Inactive
10-11-2017	4033	Happy	137	5	Inactive
11-11-2017	6314	Happy	193	6	Active
12-11-2017	614	Happy	19	4	Active
13-11-2017	3149	Happy	101	5	Active
14-11-2017	4005	Happy	139	8	Active
15-11-2017	4880	Happy	164	4	Active
16-11-2017	4136	Happy	137	5	Active
17-11-2017	705	Happy	22	6	Active
18-11-2017	570	Neutral	17	5	Active
19-11-2017	269	Happy	9	6	Active
20-11-2017	4275	Happy	145	5	Inactive
21-11-2017	5999	Happy	192	6	Inactive
22-11-2017	4421	Happy	146	5	Inactive
23-11-2017	6930	Happy	234	6	Inactive
24-11-2017	5195	Happy	167	5	Inactive
25-11-2017	546	Happy	16	6	Inactive
26-11-2017	493	Happy	17	7	Active
27-11-2017	995	Happy	32	6	Active
28-11-2017	1163	Neutral	35	7	Active
29-11-2017	6676	Sad	220	6	Active
30-11-2017	3608	Happy	116	5	Active
01-12-2017	774	Happy	23	6	Active
02-12-2017	1421	Happy	44	7	Active
03-12-2017	4064	Happy	131	8	Active
04-12-2017	2725	Happy	86	8	Active
05-12-2017	5934	Happy	194	7	Active
06-12-2017	1867	Happy	60	8	Active
07-12-2017	3721	Sad	121	5	Active
08-12-2017	2374	Neutral	76	4	Inactive
09-12-2017	2909	Neutral	93	3	Active
10-12-2017	1648	Sad	53	3	Active
11-12-2017	799	Sad	25	4	Inactive
12-12-2017	7102	Neutral	227	5	Active
13-12-2017	3941	Neutral	125	5	Active
14-12-2017	7422	Happy	243	5	Active
15-12-2017	437	Neutral	14	3	Active
16-12-2017	1231	Neutral	39	4	Active
17-12-2017	1696	Sad	55	4	Inactive
18-12-2017	4921	Neutral	158	5	Active
19-12-2017	221	Sad	7	5	Active
20-12-2017	6500	Neutral	213	5	Active
21-12-2017	3575	Neutral	116	5	Active
22-12-2017	4061	Sad	129	5	Inactive
23-12-2017	651	Sad	21	5	Inactive
24-12-2017	753	Sad	28	4	Inactive
25-12-2017	518	Sad	16	3	Inactive
26-12-2017	5537	Happy	180	4	Active
27-12-2017	4108	Neutral	138	5	Active
28-12-2017	5376	Happy	176	5	Active
29-12-2017	3066	Neutral	99	4	Active
30-12-2017	177	Sad	5	5	Inactive
31-12-2017	36	Sad	1	3	Inactive
01-01-2018	299	Sad	10	3	Inactive
02-01-2018	1447	Neutral	47	3	Inactive
03-01-2018	2599	Neutral	84	2	Inactive
04-01-2018	702	Sad	23	3	Inactive
05-01-2018	133	Sad	4	2	Inactive
06-01-2018	153	Happy	0	8	Inactive
07-01-2018	500	Neutral	0	5	Active
08-01-2018	2127	Neutral	0	5	Inactive
09-01-2018	2203	Happy	0	5	Active
