"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","17.94","2.56","0.75"
"11 Aug 2022","17.87","2.57","0.75"
"10 Aug 2022","17.60","2.59","0.72"
"08 Aug 2022","17.58","2.59","0.72"
"05 Aug 2022","17.43","2.56","0.58"
"04 Aug 2022","17.36","2.55","0.58"
"03 Aug 2022","17.47","2.57","0.58"
"02 Aug 2022","17.48","2.57","0.58"
"01 Aug 2022","17.64","2.56","0.58"
"29 Jul 2022","17.39","2.54","0.59"
"28 Jul 2022","17.33","2.53","0.65"
"27 Jul 2022","17.06","2.49","0.66"
"26 Jul 2022","17.56","2.46","0.67"
"25 Jul 2022","17.87","2.50","0.66"
"22 Jul 2022","17.89","2.50","0.66"
"21 Jul 2022","17.77","2.46","0.67"
"20 Jul 2022","17.66","2.45","0.68"
"19 Jul 2022","17.71","2.43","0.68"
"18 Jul 2022","17.53","2.40","0.66"
"15 Jul 2022","17.27","2.36","0.67"
"14 Jul 2022","17.26","2.36","0.67"
"13 Jul 2022","17.35","2.37","0.67"
"12 Jul 2022","17.50","2.39","0.66"
"11 Jul 2022","17.67","2.41","0.65"
"08 Jul 2022","17.49","2.45","0.66"
"07 Jul 2022","17.39","2.57","0.66"
"06 Jul 2022","17.10","2.52","0.66"
"05 Jul 2022","16.84","2.48","0.67"
"04 Jul 2022","16.90","2.49","0.67"
"01 Jul 2022","16.70","2.46","0.67"
"30 Jun 2022","16.65","2.46","0.69"
"29 Jun 2022","16.68","2.48","0.70"
"28 Jun 2022","16.87","2.51","0.82"
"27 Jun 2022","16.95","2.52","0.82"
"24 Jun 2022","16.86","2.50","0.82"
"22 Jun 2022","16.47","2.45","0.84"
"21 Jun 2022","16.64","2.47","0.82"
"20 Jun 2022","16.39","2.43","0.83"
"17 Jun 2022","16.42","2.44","0.83"
"16 Jun 2022","16.35","2.43","0.78"
"15 Jun 2022","16.72","2.48","0.76"
"14 Jun 2022","16.70","2.48","0.76"
"13 Jun 2022","16.75","2.49","0.76"
"10 Jun 2022","17.29","2.57","0.74"
"09 Jun 2022","17.59","2.61","0.72"
"07 Jun 2022","17.55","2.61","0.73"
"06 Jun 2022","17.70","2.63","0.72"
"03 Jun 2022","17.69","2.63","0.72"
"02 Jun 2022","17.86","2.65","0.81"
"01 Jun 2022","17.86","2.65","0.81"
"31 May 2022","17.79","2.64","0.81"
"30 May 2022","17.96","2.67","0.80"
"27 May 2022","17.86","2.65","0.81"
"26 May 2022","17.60","2.61","0.82"
"25 May 2022","17.22","2.56","0.84"
"24 May 2022","17.19","2.55","0.67"
"23 May 2022","17.17","2.55","0.67"
"20 May 2022","17.19","2.55","0.67"
"19 May 2022","16.70","2.48","0.69"
"18 May 2022","17.13","2.54","0.67"
"17 May 2022","17.20","2.55","0.67"
