"Date","Open","High","Low","Close"
"12 Aug 2022","5684.10","5775.75","5674.35","5759.05"
"11 Aug 2022","5728.50","5730.00","5667.80","5677.10"
"10 Aug 2022","5684.50","5699.05","5634.95","5688.85"
"08 Aug 2022","5644.85","5678.60","5621.20","5665.30"
"05 Aug 2022","5624.05","5659.75","5622.70","5642.70"
"04 Aug 2022","5652.05","5672.80","5553.45","5612.85"
"03 Aug 2022","5651.90","5677.35","5573.45","5618.65"
"02 Aug 2022","5634.75","5660.55","5592.65","5648.55"
"01 Aug 2022","5583.70","5650.30","5555.95","5641.95"
"29 Jul 2022","5459.75","5552.25","5453.50","5547.20"
"28 Jul 2022","5399.60","5437.15","5370.75","5414.10"
"27 Jul 2022","5315.65","5368.85","5299.20","5363.45"
"26 Jul 2022","5357.85","5360.90","5317.25","5324.20"
"25 Jul 2022","5327.05","5355.60","5300.30","5347.40"
"22 Jul 2022","5330.15","5347.00","5292.15","5341.65"
"21 Jul 2022","5267.30","5316.60","5254.90","5306.95"
"20 Jul 2022","5314.60","5314.95","5248.35","5257.50"
"19 Jul 2022","5179.55","5240.70","5177.35","5227.65"
"18 Jul 2022","5159.35","5205.25","5152.25","5200.05"
"15 Jul 2022","5117.65","5135.95","5091.10","5114.05"
"14 Jul 2022","5151.95","5153.85","5059.25","5109.10"
"13 Jul 2022","5156.00","5174.75","5111.45","5125.95"
"12 Jul 2022","5134.60","5170.45","5122.65","5136.65"
"11 Jul 2022","5045.50","5166.95","5029.30","5157.70"
"08 Jul 2022","5099.00","5100.15","5032.30","5060.05"
"07 Jul 2022","5009.00","5058.20","4979.60","5052.60"
"06 Jul 2022","4943.15","4973.80","4888.80","4965.20"
"05 Jul 2022","4981.75","5032.65","4945.35","4955.15"
"04 Jul 2022","4956.55","4984.10","4901.05","4956.40"
"01 Jul 2022","5001.10","5032.00","4907.70","4983.05"
"30 Jun 2022","5070.90","5100.65","5005.50","5021.45"
"29 Jun 2022","5005.90","5078.75","4998.65","5066.60"
"28 Jun 2022","4987.25","5054.60","4968.30","5046.80"
"27 Jun 2022","4993.85","5026.55","4971.00","4999.45"
"24 Jun 2022","4896.95","4934.95","4893.80","4924.05"
"23 Jun 2022","4851.85","4914.95","4802.95","4862.60"
"22 Jun 2022","4941.65","4942.50","4827.00","4839.90"
"21 Jun 2022","4888.55","4992.35","4865.20","4973.45"
"20 Jun 2022","4936.90","4940.95","4774.15","4843.75"
"17 Jun 2022","4944.40","5008.60","4920.80","4936.80"
"16 Jun 2022","5199.55","5209.10","4959.00","4970.05"
"15 Jun 2022","5188.90","5203.95","5138.75","5146.80"
"14 Jun 2022","5185.65","5254.90","5172.25","5183.70"
"13 Jun 2022","5241.60","5247.80","5169.70","5204.80"
"10 Jun 2022","5330.85","5348.10","5314.55","5331.85"
"09 Jun 2022","5363.85","5393.35","5346.85","5382.95"
"08 Jun 2022","5421.05","5449.95","5371.00","5387.50"
"07 Jun 2022","5394.25","5423.60","5381.75","5403.70"
"06 Jun 2022","5414.30","5425.45","5371.35","5414.00"
"03 Jun 2022","5563.65","5567.15","5420.55","5424.75"
"02 Jun 2022","5453.60","5529.40","5449.60","5523.50"
"01 Jun 2022","5477.00","5509.15","5424.75","5460.40"
"31 May 2022","5476.75","5540.50","5461.85","5477.40"
"30 May 2022","5435.85","5496.35","5422.25","5486.25"
"27 May 2022","5462.85","5466.15","5363.40","5396.45"
"26 May 2022","5379.65","5420.00","5230.55","5405.05"
"25 May 2022","5432.00","5443.00","5323.55","5345.25"
"24 May 2022","5489.75","5517.55","5382.00","5397.35"
"23 May 2022","5615.90","5615.90","5463.20","5468.65"
"20 May 2022","5665.15","5679.55","5602.30","5662.50"
