"Date","Open","High","Low","Close"
"12 Aug 2022","26688.85","27197.95","26627.10","27163.95"
"11 Aug 2022","26807.25","26861.75","26583.35","26661.75"
"10 Aug 2022","26772.05","26825.60","26526.95","26664.75"
"08 Aug 2022","26407.60","26762.95","26334.40","26728.85"
"05 Aug 2022","26842.10","26902.55","26272.90","26418.65"
"04 Aug 2022","27115.60","27173.25","26512.05","26803.75"
"03 Aug 2022","27121.60","27283.60","26780.10","27052.25"
"02 Aug 2022","26770.25","27088.10","26683.85","27038.50"
"01 Aug 2022","26101.30","26825.10","26045.15","26746.45"
"29 Jul 2022","25715.30","26052.60","25658.50","26018.40"
"28 Jul 2022","25422.10","25595.65","25302.50","25555.55"
"27 Jul 2022","25255.90","25328.65","25170.00","25278.65"
"26 Jul 2022","25403.90","25476.60","25225.05","25273.35"
"25 Jul 2022","25549.40","25559.20","25234.80","25360.85"
"22 Jul 2022","25839.45","25870.50","25550.55","25621.65"
"21 Jul 2022","25595.10","25775.00","25546.50","25719.60"
"20 Jul 2022","25954.75","25970.30","25513.50","25608.20"
"19 Jul 2022","25161.70","25489.20","25161.70","25372.70"
"18 Jul 2022","25174.85","25334.50","25128.10","25279.15"
"15 Jul 2022","25200.35","25256.05","24834.95","24964.50"
"14 Jul 2022","24938.30","25094.80","24520.25","24975.35"
"13 Jul 2022","25209.10","25306.40","24610.75","24727.20"
"12 Jul 2022","24885.15","25363.50","24877.95","25098.45"
"11 Jul 2022","24313.30","25069.15","24300.65","25005.50"
"08 Jul 2022","24378.35","24385.30","24132.50","24347.65"
"07 Jul 2022","24257.00","24304.90","24026.45","24109.15"
"06 Jul 2022","24162.60","24267.25","23825.55","24079.20"
"05 Jul 2022","24238.70","24457.55","24132.25","24229.00"
"04 Jul 2022","24030.10","24281.55","23973.35","24078.20"
"01 Jul 2022","25009.55","25228.00","23901.75","24122.85"
"30 Jun 2022","24993.60","25309.30","24975.40","25108.50"
"29 Jun 2022","24270.05","25039.00","24243.55","24972.65"
"28 Jun 2022","24165.30","24517.90","24144.70","24477.95"
"27 Jun 2022","24356.95","24374.45","24173.45","24238.15"
"24 Jun 2022","23904.40","24062.65","23810.60","24021.30"
"23 Jun 2022","23862.15","24003.25","23458.50","23692.55"
"22 Jun 2022","24164.10","24166.75","23689.70","23792.05"
"21 Jun 2022","23884.85","24455.55","23708.60","24355.95"
"20 Jun 2022","24170.90","24230.20","23376.85","23701.30"
"17 Jun 2022","24234.80","24560.50","24062.00","24155.15"
"16 Jun 2022","25125.55","25231.65","24220.40","24370.00"
"15 Jun 2022","25287.75","25352.20","24835.35","24877.00"
"14 Jun 2022","25215.90","25481.00","25132.45","25177.70"
"13 Jun 2022","25359.95","25524.60","25138.40","25317.40"
"10 Jun 2022","26036.70","26227.30","25684.05","25808.50"
"09 Jun 2022","25928.85","26329.55","25897.10","26287.70"
