"Date","Open","High","Low","Close"
"12 Aug 2022","8281.90","8325.55","8269.45","8308.80"
"11 Aug 2022","8295.90","8299.45","8244.45","8269.90"
"10 Aug 2022","8219.35","8245.90","8182.55","8239.25"
"08 Aug 2022","8143.40","8195.50","8130.45","8184.90"
"05 Aug 2022","8177.05","8192.90","8109.85","8128.15"
"04 Aug 2022","8128.50","8173.10","8022.20","8161.15"
"03 Aug 2022","8137.25","8145.50","8027.20","8081.45"
"02 Aug 2022","8138.30","8152.20","8074.70","8139.35"
"01 Aug 2022","8073.20","8150.30","8047.10","8142.60"
"29 Jul 2022","7920.75","8018.05","7914.00","8012.50"
"28 Jul 2022","7844.15","7880.15","7787.75","7867.35"
"27 Jul 2022","7717.75","7816.25","7696.20","7809.50"
"26 Jul 2022","7794.85","7798.40","7711.35","7720.30"
"25 Jul 2022","7815.55","7826.90","7765.70","7785.95"
"22 Jul 2022","7849.00","7860.50","7801.85","7817.15"
"21 Jul 2022","7747.55","7824.65","7737.00","7813.80"
"20 Jul 2022","7800.35","7800.75","7728.40","7740.15"
"19 Jul 2022","7653.30","7723.55","7650.00","7714.15"
"18 Jul 2022","7664.60","7687.25","7655.85","7675.50"
"15 Jul 2022","7564.50","7610.35","7548.25","7604.00"
"14 Jul 2022","7556.45","7583.10","7497.40","7547.60"
"13 Jul 2022","7530.85","7560.85","7506.10","7537.35"
"12 Jul 2022","7543.55","7556.35","7487.25","7500.85"
"11 Jul 2022","7486.75","7584.80","7467.40","7574.60"
"08 Jul 2022","7569.20","7570.85","7479.45","7505.35"
"07 Jul 2022","7454.75","7510.55","7435.60","7504.60"
"06 Jul 2022","7305.80","7406.70","7274.25","7397.00"
"05 Jul 2022","7329.40","7390.45","7288.80","7299.65"
"04 Jul 2022","7266.15","7306.75","7218.85","7297.80"
"01 Jul 2022","7257.05","7298.65","7181.85","7284.95"
"30 Jun 2022","7343.65","7380.40","7267.85","7286.05"
"29 Jun 2022","7281.05","7358.10","7274.15","7350.10"
"28 Jun 2022","7283.25","7348.65","7262.65","7339.60"
"27 Jun 2022","7330.25","7347.75","7291.85","7302.25"
"24 Jun 2022","7185.60","7243.00","7181.80","7237.70"
"23 Jun 2022","7034.05","7148.10","7024.65","7139.85"
"22 Jun 2022","7110.10","7113.90","6995.30","7008.00"
"21 Jun 2022","7023.25","7156.50","7016.90","7139.05"
"20 Jun 2022","7079.40","7090.50","6914.60","6975.80"
"17 Jun 2022","7103.90","7155.25","7038.15","7068.85"
"16 Jun 2022","7406.50","7407.75","7134.80","7145.35"
"15 Jun 2022","7329.00","7353.95","7305.90","7331.20"
"14 Jun 2022","7306.10","7395.75","7290.95","7312.40"
"13 Jun 2022","7386.70","7399.40","7310.80","7339.95"
"10 Jun 2022","7485.05","7520.55","7471.90","7503.10"
"09 Jun 2022","7491.40","7561.00","7474.55","7555.30"
"08 Jun 2022","7571.85","7580.50","7486.70","7530.25"
"07 Jun 2022","7564.20","7570.10","7512.40","7552.05"
"06 Jun 2022","7582.40","7608.75","7534.65","7598.50"
"03 Jun 2022","7734.85","7750.20","7590.20","7598.45"
"02 Jun 2022","7669.65","7694.30","7635.10","7687.30"
"01 Jun 2022","7691.45","7721.20","7636.10","7673.95"
"31 May 2022","7628.35","7712.20","7615.95","7673.95"
"30 May 2022","7571.70","7645.40","7568.10","7638.15"
"27 May 2022","7498.90","7521.00","7438.75","7510.00"
"26 May 2022","7418.10","7445.50","7277.90","7432.25"
"25 May 2022","7533.60","7552.55","7375.35","7380.80"
"24 May 2022","7555.80","7581.40","7475.50","7497.60"
"23 May 2022","7628.35","7643.65","7528.00","7537.00"
"20 May 2022","7545.80","7632.35","7537.90","7626.95"
"19 May 2022","7455.95","7501.30","7401.80","7421.50"
"18 May 2022","7632.35","7673.00","7591.05","7614.75"
"17 May 2022","7437.80","7614.00","7433.45","7606.15"
"16 May 2022","7379.00","7428.20","7325.85","7389.85"
"13 May 2022","7358.85","7464.55","7313.15","7331.85"
"12 May 2022","7381.20","7388.00","7227.30","7275.45"
"11 May 2022","7473.20","7525.70","7326.05","7436.45"
"10 May 2022","7572.60","7640.45","7439.30","7461.10"
"09 May 2022","7616.60","7643.20","7525.25","7592.55"
"06 May 2022","7727.75","7743.15","7651.80","7691.00"
"05 May 2022","7904.35","7958.65","7831.30","7842.80"
"04 May 2022","8060.25","8065.90","7802.60","7828.80"
"02 May 2022","8015.25","8048.55","7965.35","8036.25"
"29 Apr 2022","8162.90","8190.45","8052.15","8070.50"
"28 Apr 2022","8145.60","8145.60","8067.30","8120.45"
"27 Apr 2022","8055.90","8084.00","8001.45","8061.90"
"26 Apr 2022","8054.90","8120.50","8051.70","8113.65"
"25 Apr 2022","8066.35","8087.30","7958.40","7987.75"
"22 Apr 2022","8209.35","8232.00","8146.00","8155.80"
"21 Apr 2022","8196.55","8260.05","8190.00","8253.70"
