"Date","Open","High","Low","Close"
"12 Aug 2022","4986.25","5030.70","4976.85","5020.60"
"11 Aug 2022","5018.45","5023.75","4976.20","4983.75"
"10 Aug 2022","4986.00","4992.25","4946.55","4986.25"
"08 Aug 2022","4955.15","4987.90","4943.70","4974.60"
"05 Aug 2022","4945.85","4961.15","4930.85","4950.65"
"04 Aug 2022","4988.70","4998.10","4885.70","4934.85"
"03 Aug 2022","4983.40","5002.15","4923.85","4971.00"
"02 Aug 2022","4980.10","4991.15","4945.55","4976.90"
"01 Aug 2022","4905.05","4984.30","4898.10","4979.30"
"29 Jul 2022","4858.50","4895.70","4854.95","4890.55"
"28 Jul 2022","4830.80","4838.20","4806.35","4825.35"
"27 Jul 2022","4770.40","4809.60","4765.40","4805.80"
"26 Jul 2022","4801.65","4803.80","4765.35","4773.45"
"25 Jul 2022","4816.10","4816.20","4778.50","4797.35"
"22 Jul 2022","4827.60","4836.85","4803.25","4830.15"
"21 Jul 2022","4773.70","4820.95","4768.25","4814.70"
"20 Jul 2022","4823.15","4824.05","4770.80","4776.15"
"19 Jul 2022","4714.75","4757.00","4711.05","4744.00"
"18 Jul 2022","4692.75","4728.95","4687.60","4722.75"
"15 Jul 2022","4644.20","4668.15","4634.70","4661.65"
"14 Jul 2022","4636.50","4641.25","4586.00","4621.60"
"13 Jul 2022","4664.20","4673.20","4606.95","4613.10"
"12 Jul 2022","4636.90","4676.35","4631.50","4642.05"
"11 Jul 2022","4644.55","4667.85","4626.75","4657.40"
"08 Jul 2022","4649.80","4674.05","4638.40","4669.65"
"07 Jul 2022","4609.25","4620.65","4587.15","4616.05"
"06 Jul 2022","4565.20","4589.55","4544.85","4582.60"
"05 Jul 2022","4574.50","4622.15","4560.90","4568.35"
"04 Jul 2022","4518.25","4565.40","4509.65","4561.80"
"01 Jul 2022","4605.65","4616.90","4494.60","4540.35"
"30 Jun 2022","4638.05","4665.30","4599.85","4619.80"
"29 Jun 2022","4565.30","4644.25","4562.60","4633.40"
"28 Jun 2022","4555.80","4611.05","4550.05","4603.40"
"27 Jun 2022","4581.45","4592.55","4558.15","4572.50"
"24 Jun 2022","4513.00","4537.25","4502.05","4522.15"
"23 Jun 2022","4479.50","4523.05","4439.60","4481.40"
"22 Jun 2022","4512.50","4512.55","4445.80","4466.80"
"21 Jun 2022","4475.35","4552.85","4458.80","4537.70"
"20 Jun 2022","4503.35","4513.90","4405.55","4444.55"
"17 Jun 2022","4525.60","4567.90","4482.15","4498.10"
"16 Jun 2022","4697.45","4707.40","4534.30","4542.95"
"15 Jun 2022","4686.15","4692.85","4656.45","4663.95"
"14 Jun 2022","4658.15","4707.40","4656.05","4674.25"
"13 Jun 2022","4699.35","4710.40","4641.95","4671.50"
