"Date","Open","High","Low","Close"
"12 Aug 2022","30184.95","30195.00","29819.15","29885.90"
"11 Aug 2022","30164.20","30388.90","30073.95","30233.70"
"10 Aug 2022","30013.45","30013.45","29456.80","29701.15"
"08 Aug 2022","29999.15","30036.75","29694.15","29967.70"
"05 Aug 2022","29891.85","30080.20","29799.20","29973.55"
"04 Aug 2022","29694.05","29972.35","29278.15","29782.90"
"03 Aug 2022","29002.30","29453.35","28929.90","29416.95"
"02 Aug 2022","29131.10","29153.05","28871.20","29024.65"
"01 Aug 2022","29376.65","29376.65","28928.95","29220.00"
"29 Jul 2022","28983.25","29355.00","28909.15","29152.30"
"28 Jul 2022","28225.10","28703.40","28170.45","28663.05"
"27 Jul 2022","27420.65","27908.25","27339.95","27878.80"
"26 Jul 2022","28157.50","28157.50","27383.95","27418.85"
"25 Jul 2022","28006.65","28320.85","27890.65","28216.00"
"22 Jul 2022","28429.55","28549.25","27862.05","28168.15"
"21 Jul 2022","28116.55","28369.95","27848.75","28342.90"
"20 Jul 2022","27701.05","28175.50","27631.40","28146.35"
"19 Jul 2022","27071.80","27399.50","27065.80","27346.10"
"18 Jul 2022","26801.75","27376.20","26785.80","27322.95"
"15 Jul 2022","26664.30","26734.00","26189.40","26484.70"
"14 Jul 2022","27155.00","27162.90","26298.00","26523.30"
"13 Jul 2022","27228.95","27247.45","26872.75","26949.75"
"12 Jul 2022","27248.20","27504.40","27022.85","27063.75"
"11 Jul 2022","27855.75","27941.20","27195.65","27380.55"
"08 Jul 2022","28450.55","28459.55","28095.35","28250.30"
"07 Jul 2022","28217.80","28459.25","28077.05","28196.35"
"06 Jul 2022","27778.65","28148.90","27628.55","28007.60"
"05 Jul 2022","28020.30","28233.05","27642.60","27695.15"
"04 Jul 2022","28084.25","28174.40","27643.65","27890.65"
"01 Jul 2022","27718.80","28151.00","27524.30","28064.25"
"30 Jun 2022","28131.95","28325.65","27775.75","27843.35"
"29 Jun 2022","28105.70","28446.45","28046.75","28140.10"
"28 Jun 2022","28218.50","28602.05","27983.60","28509.10"
"27 Jun 2022","28293.20","28588.70","28251.40","28345.95"
"24 Jun 2022","28261.00","28361.20","27631.45","27777.80"
"23 Jun 2022","27532.75","28100.05","27532.75","28027.80"
"22 Jun 2022","27656.30","27824.05","27426.05","27488.35"
"21 Jun 2022","27202.90","27895.00","27137.90","27810.60"
"20 Jun 2022","26819.45","27112.65","26544.80","26966.20"
"17 Jun 2022","26866.60","26993.55","26399.75","26732.45"
"16 Jun 2022","28191.85","28224.50","27067.45","27136.45"
"15 Jun 2022","28017.95","28131.15","27786.65","27812.45"
"14 Jun 2022","27626.20","28249.60","27502.05","27953.35"
"13 Jun 2022","28419.85","28443.85","27792.10","27914.60"
"10 Jun 2022","29299.50","29350.60","29022.75","29114.30"
