"Date","Open","High","Low","Close"
"12 Aug 2022","2073.50","2079.15","2039.90","2043.25"
"11 Aug 2022","2103.95","2110.75","2067.00","2072.55"
"10 Aug 2022","2107.10","2116.40","2080.60","2092.95"
"08 Aug 2022","2082.55","2109.35","2077.80","2103.20"
"05 Aug 2022","2106.20","2111.75","2081.65","2086.55"
"04 Aug 2022","2129.80","2139.10","2072.90","2097.45"
"03 Aug 2022","2125.30","2135.10","2083.75","2116.20"
"02 Aug 2022","2116.90","2137.55","2113.95","2125.20"
"01 Aug 2022","2098.20","2134.90","2082.65","2126.90"
"29 Jul 2022","2062.10","2090.70","2059.05","2079.05"
"28 Jul 2022","2034.05","2052.75","2014.80","2049.85"
"27 Jul 2022","1984.70","2027.00","1976.55","2021.90"
"26 Jul 2022","1964.50","2002.95","1960.05","1979.85"
"25 Jul 2022","1975.75","1986.90","1943.35","1962.90"
"22 Jul 2022","1986.60","1991.40","1963.00","1976.90"
"21 Jul 2022","1955.60","1989.95","1951.55","1971.00"
"20 Jul 2022","1973.60","1978.40","1943.20","1947.90"
"19 Jul 2022","1958.35","1977.20","1949.20","1956.40"
"18 Jul 2022","1947.90","1971.25","1947.90","1963.15"
"15 Jul 2022","1936.10","1944.00","1924.70","1938.15"
"14 Jul 2022","1940.70","1954.90","1920.35","1931.60"
"13 Jul 2022","1938.10","1948.60","1926.20","1938.70"
"12 Jul 2022","1946.70","1953.85","1925.60","1929.05"
"11 Jul 2022","1938.35","1958.45","1931.05","1951.40"
"08 Jul 2022","1959.35","1982.95","1940.95","1947.05"
"07 Jul 2022","1947.75","1954.95","1926.60","1945.90"
"06 Jul 2022","1901.90","1942.40","1880.25","1936.45"
"05 Jul 2022","1928.55","1935.10","1890.05","1901.40"
"04 Jul 2022","1915.40","1932.30","1901.95","1918.65"
"01 Jul 2022","1893.85","1915.05","1874.10","1910.40"
"30 Jun 2022","1903.20","1924.80","1891.40","1897.55"
"29 Jun 2022","1883.95","1910.50","1880.95","1899.70"
"28 Jun 2022","1886.80","1907.40","1865.35","1903.30"
"27 Jun 2022","1925.95","1926.20","1891.45","1893.10"
"24 Jun 2022","1866.35","1898.40","1863.15","1892.90"
"23 Jun 2022","1821.75","1860.10","1820.80","1846.05"
"22 Jun 2022","1880.60","1884.05","1813.85","1818.40"
"21 Jun 2022","1807.05","1889.15","1804.75","1884.35"
"20 Jun 2022","1837.60","1840.80","1752.20","1786.35"
"17 Jun 2022","1832.75","1843.05","1802.95","1833.80"
"16 Jun 2022","1913.05","1924.75","1824.35","1832.25"
"15 Jun 2022","1921.35","1933.95","1889.50","1892.85"
