"Date","Open","High","Low","Close"
"12 Aug 2022","5767.85","5878.35","5758.55","5853.45"
"11 Aug 2022","5806.65","5809.65","5739.85","5758.85"
"10 Aug 2022","5694.80","5782.95","5632.05","5759.60"
"08 Aug 2022","5617.05","5677.05","5590.75","5668.00"
"05 Aug 2022","5641.30","5679.70","5587.20","5595.85"
"04 Aug 2022","5597.30","5685.25","5549.15","5620.35"
"03 Aug 2022","5561.70","5609.80","5499.35","5553.15"
"02 Aug 2022","5557.65","5573.50","5462.55","5563.45"
"01 Aug 2022","5551.00","5586.50","5496.35","5578.15"
"29 Jul 2022","5346.75","5517.45","5337.50","5485.80"
"28 Jul 2022","5237.30","5324.10","5200.80","5282.10"
"27 Jul 2022","5150.15","5201.70","5121.95","5193.65"
"26 Jul 2022","5189.20","5201.55","5132.35","5153.40"
"25 Jul 2022","5086.30","5180.05","5081.50","5168.55"
"22 Jul 2022","5119.90","5130.35","5070.10","5094.10"
"21 Jul 2022","5059.30","5107.60","5042.80","5090.10"
"20 Jul 2022","5069.80","5097.15","5033.45","5046.70"
"19 Jul 2022","4926.20","4999.05","4920.00","4991.00"
"18 Jul 2022","4888.50","4963.30","4872.55","4950.95"
"15 Jul 2022","4872.20","4892.65","4790.85","4830.70"
"14 Jul 2022","4905.20","4905.35","4820.00","4870.35"
"13 Jul 2022","4843.10","4901.25","4817.35","4872.55"
"12 Jul 2022","4855.30","4900.25","4795.85","4834.05"
"11 Jul 2022","4776.50","4947.85","4751.05","4893.90"
"08 Jul 2022","4908.80","4908.80","4758.35","4799.55"
"07 Jul 2022","4717.55","4864.10","4675.70","4842.20"
"06 Jul 2022","4635.20","4676.30","4551.55","4665.30"
"05 Jul 2022","4675.85","4763.15","4653.40","4663.75"
"04 Jul 2022","4653.25","4684.95","4571.15","4649.95"
"01 Jul 2022","4629.95","4709.00","4571.30","4696.50"
"30 Jun 2022","4764.70","4808.00","4642.70","4660.90"
"29 Jun 2022","4695.35","4768.20","4678.25","4755.40"
"28 Jun 2022","4657.55","4755.10","4625.10","4744.00"
"27 Jun 2022","4683.10","4728.95","4650.95","4666.30"
"24 Jun 2022","4558.50","4613.65","4530.10","4596.60"
"23 Jun 2022","4500.50","4590.25","4452.15","4523.00"
"22 Jun 2022","4671.05","4672.55","4480.75","4490.75"
"21 Jun 2022","4604.35","4761.75","4576.50","4720.75"
"20 Jun 2022","4714.25","4720.15","4437.30","4540.55"
"17 Jun 2022","4691.25","4810.35","4677.15","4724.85"
"16 Jun 2022","5046.05","5053.10","4706.15","4721.30"
"15 Jun 2022","4992.55","5036.30","4964.55","4982.30"
"14 Jun 2022","5056.00","5107.65","4968.45","5018.30"
"13 Jun 2022","5105.60","5106.40","4977.70","5000.00"
"10 Jun 2022","5204.20","5220.60","5153.10","5199.95"
"09 Jun 2022","5302.20","5348.95","5234.65","5278.20"
"08 Jun 2022","5366.45","5398.00","5324.85","5348.20"
"07 Jun 2022","5352.30","5391.85","5314.75","5340.85"
"06 Jun 2022","5284.85","5399.50","5249.40","5388.65"
"03 Jun 2022","5445.80","5460.40","5314.80","5328.80"
"02 Jun 2022","5344.55","5407.10","5308.85","5397.55"
"01 Jun 2022","5350.90","5399.95","5285.95","5336.70"
"31 May 2022","5243.80","5390.85","5219.60","5332.75"
"30 May 2022","5238.05","5297.90","5192.30","5264.05"
"27 May 2022","5295.10","5316.75","5160.40","5211.50"
"26 May 2022","5124.35","5239.10","4954.30","5214.75"
"25 May 2022","5205.45","5227.00","5053.20","5079.25"
"24 May 2022","5262.30","5311.75","5160.10","5180.30"
"23 May 2022","5491.20","5491.20","5199.25","5241.60"
"20 May 2022","5649.95","5716.10","5606.30","5706.35"
"19 May 2022","5567.15","5580.30","5429.55","5476.25"
"18 May 2022","5770.25","5775.10","5674.55","5708.95"
"17 May 2022","5447.00","5745.20","5438.05","5727.45"
"16 May 2022","5401.50","5484.15","5323.15","5359.95"
"13 May 2022","5514.55","5564.95","5290.30","5313.05"
"12 May 2022","5581.75","5616.30","5351.95","5425.90"
"11 May 2022","5649.20","5734.45","5500.00","5634.15"
"10 May 2022","5896.90","5938.15","5614.10","5633.85"
"09 May 2022","5974.35","6019.05","5891.20","5942.80"
"06 May 2022","6077.30","6095.55","5974.05","6066.00"
"05 May 2022","6242.05","6325.90","6179.35","6196.60"
"04 May 2022","6420.90","6420.90","6140.80","6158.55"
"02 May 2022","6272.60","6379.05","6211.85","6363.10"
"29 Apr 2022","6397.40","6422.55","6310.85","6327.30"
"28 Apr 2022","6400.05","6400.05","6293.65","6362.40"
"27 Apr 2022","6301.80","6361.35","6222.00","6321.55"
"26 Apr 2022","6309.60","6347.60","6266.45","6336.85"
"25 Apr 2022","6322.25","6346.30","6215.40","6256.80"
"22 Apr 2022","6527.95","6554.85","6432.40","6440.65"
"21 Apr 2022","6581.85","6601.75","6477.35","6570.20"
"20 Apr 2022","6618.20","6644.15","6517.60","6556.10"
"19 Apr 2022","6705.65","6773.10","6508.30","6578.00"
"18 Apr 2022","6624.90","6684.75","6576.70","6648.95"
"13 Apr 2022","6642.40","6702.05","6603.00","6627.00"
"12 Apr 2022","6753.10","6760.15","6499.70","6589.25"
"11 Apr 2022","6768.60","6825.65","6751.45","6774.90"
"08 Apr 2022","6665.90","6783.80","6649.45","6755.55"
"07 Apr 2022","6742.30","6760.65","6597.60","6618.35"
"06 Apr 2022","6628.95","6770.05","6616.30","6730.00"
"05 Apr 2022","6648.50","6678.05","6602.45","6640.45"
"04 Apr 2022","6491.65","6634.70","6481.70","6606.10"
"01 Apr 2022","6439.40","6537.05","6432.45","6477.20"
"31 Mar 2022","6445.05","6471.20","6405.65","6423.70"
"30 Mar 2022","6561.30","6561.30","6417.45","6428.95"
"29 Mar 2022","6582.10","6617.85","6508.60","6571.85"
"28 Mar 2022","6497.95","6580.30","6467.85","6559.40"
"25 Mar 2022","6518.45","6565.45","6458.65","6500.20"
"24 Mar 2022","6407.85","6536.40","6404.50","6498.20"
"23 Mar 2022","6387.85","6444.15","6283.90","6399.95"
"22 Mar 2022","6326.90","6382.60","6244.10","6323.70"
"21 Mar 2022","6236.80","6358.40","6233.35","6276.35"
"17 Mar 2022","6117.25","6230.30","6101.55","6183.80"
"16 Mar 2022","5973.85","6082.05","5960.95","6065.70"
"15 Mar 2022","6113.40","6116.30","5868.85","5910.10"
"14 Mar 2022","6187.25","6205.30","6093.30","6161.05"
"11 Mar 2022","6175.60","6275.55","6151.90","6190.05"
"10 Mar 2022","6017.70","6172.70","5957.10","6161.95"
"09 Mar 2022","6045.90","6090.85","5981.75","6024.60"
"08 Mar 2022","6161.65","6161.65","5959.75","6045.30"
"07 Mar 2022","6014.30","6156.95","5988.45","6136.15"
"04 Mar 2022","6199.50","6269.00","5993.55","6010.15"
"03 Mar 2022","6254.35","6294.65","6169.55","6210.25"
"02 Mar 2022","5902.25","6173.1","5897.2","6136.70"
"28 Feb 2022","5586.5","5909.15","5554.45","5896.85"
"25 Feb 2022","5426.9","5647.4","5421.4","5618.70"
"24 Feb 2022","5427.15","5535.95","5293.4","5313.65"
"23 Feb 2022","5635.70","5655.20","5599.30","5608.90"
"22 Feb 2022","5540.25","5609.20","5476.70","5595.90"
"21 Feb 2022","5753.50","5767.45","5646.75","5658.95"
"18 Feb 2022","5779.90","5844.40","5761.25","5778.40"
"17 Feb 2022","5842.05","5870.65","5776.45","5793.40"
"16 Feb 2022","5878.15","5887.80","5788.15","5812.15"
"15 Feb 2022","5764.20","5858.65","5615.25","5845.50"
"14 Feb 2022","5892.75","5913.50","5702.45","5719.00"
"11 Feb 2022","6022.45","6076.95","5982.50","6023.80"
"10 Feb 2022","6015.50","6081.95","6000.95","6059.45"
"09 Feb 2022","5914.25","6001.20","5881.40","5985.00"
"08 Feb 2022","5867.95","5912.50","5730.70","5875.60"
"07 Feb 2022","5837.75","5935.20","5794.65","5829.00"
"04 Feb 2022","5766.95","5882.05","5763.40","5829.50"
"03 Feb 2022","5741.55","5819.15","5725.15","5761.60"
"02 Feb 2022","5763.00","5785.75","5715.75","5779.70"
"01 Feb 2022","5530.55","5736.95","5479.10","5719.40"
"31 Jan 2022","5543.00","5544.00","5463.45","5473.45"
"28 Jan 2022","5497.70","5610.70","5452.05","5466.05"
"27 Jan 2022","5411.20","5491.45","5329.70","5445.90"
"25 Jan 2022","5381.50","5512.75","5351.90","5485.15"
"24 Jan 2022","5669.05","5669.60","5382.20","5420.45"
"21 Jan 2022","5800.65","5824.75","5663.85","5719.55"
"20 Jan 2022","5814.75","5870.55","5789.05","5831.15"
"19 Jan 2022","5751.80","5830.75","5704.90","5801.10"
"18 Jan 2022","5908.20","5912.85","5736.75","5755.15"
"17 Jan 2022","5879.55","5921.80","5791.30","5888.40"
"14 Jan 2022","5857.75","5901.90","5829.60","5871.40"
"13 Jan 2022","5715.70","5896.05","5704.60","5882.75"
"12 Jan 2022","5669.95","5699.40","5653.95","5685.00"
"11 Jan 2022","5692.35","5707.65","5602.90","5610.35"
"10 Jan 2022","5714.65","5729.35","5666.10","5718.80"
"07 Jan 2022","5677.00","5701.80","5627.85","5684.85"
"06 Jan 2022","5667.10","5706.95","5626.20","5656.00"
"05 Jan 2022","5600.60","5691.90","5583.25","5684.15"
"04 Jan 2022","5663.80","5670.90","5559.90","5606.85"
"03 Jan 2022","5529.95","5640.70","5526.15","5628.10"
"31 Dec 2021","5436.15","5547.7","5436.15","5521.75"
"30 Dec 2021","5480.3","5508.2","5407.45","5416.65"
"29 Dec 2021","5523.7","5538.5","5450.9","5480.55"
"28 Dec 2021","5520.9","5548.4","5502.7","5538.70"
"27 Dec 2021","5477.65","5498","5431.2","5489.45"
"24 Dec 2021","5541.3","5542.95","5433.2","5492.70"
"23 Dec 2021","5560.6","5603.95","5498.45","5519.90"
"22 Dec 2021","5469.95","5527.75","5461.6","5521.10"
"21 Dec 2021","5328.35","5488.2","5321.4","5424.60"
"20 Dec 2021","5400.1","5409.2","5195.35","5269.60"
"17 Dec 2021","5576.7","5590.3","5466.35","5476.80"
"16 Dec 2021","5646.85","5663.65","5556.05","5597.15"
"15 Dec 2021","5671.65","5701.7","5593.95","5604.10"
"14 Dec 2021","5620","5705.55","5605.9","5666.80"
"13 Dec 2021","5738.95","5758.85","5635.3","5642.80"
"10 Dec 2021","5608.1","5677.1","5601","5658.90"
"09 Dec 2021","5625.65","5642.4","5561.2","5629.80"
"08 Dec 2021","5535.7","5601.25","5493.8","5594.90"
"07 Dec 2021","5390.45","5516.15","5383.25","5494.45"
"06 Dec 2021","5393.15","5465.4","5313.6","5327.90"
"03 Dec 2021","5404.15","5460.4","5378","5392.40"
"02 Dec 2021","5332.8","5416.35","5282","5405.05"
"01 Dec 2021","5274.35","5338.5","5219.8","5322.20"
"30 Nov 2021","5308.35","5400.3","5174","5201.70"
"29 Nov 2021","5312","5394.8","5177.8","5304.70"
"26 Nov 2021","5545","5572.8","5309","5323.75"
"25 Nov 2021","5611.15","5642.8","5548.25","5624.00"
"24 Nov 2021","5613.75","5687.35","5564.8","5602.60"
"23 Nov 2021","5438.7","5619.95","5436.95","5600.40"
"22 Nov 2021","5433.05","5478.8","5327.4","5421.60"
"18 Nov 2021","5589.3","5603.05","5405.35","5423.90"
"17 Nov 2021","5563.85","5618.65","5546.5","5568.10"
"16 Nov 2021","5629.25","5687.5","5568.6","5586.35"
"15 Nov 2021","5754.75","5761.25","5618.1","5624.30"
"12 Nov 2021","5759.6","5765.75","5670","5728.70"
"11 Nov 2021","5665.25","5723.45","5644.9","5681.00"
"10 Nov 2021","5739.55","5754.2","5626.8","5660.45"
"09 Nov 2021","5777.95","5812.6","5737.45","5761.60"
"08 Nov 2021","5751.1","5787.3","5634.95","5780.45"
"04 Nov 2021","5728.3","5737.4","5688.2","5697.95"
"03 Nov 2021","5671.85","5714.9","5647.45","5695.45"
"02 Nov 2021","5764.65","5764.75","5634.95","5643.15"
"01 Nov 2021","5648.5","5746.6","5616.9","5733.75"
"29 Oct 2021","5534.05","5660.5","5482.3","5563.40"
"28 Oct 2021","5654.95","5668.9","5521.65","5544.55"
"27 Oct 2021","5833.2","5855.55","5722.55","5741.90"
"26 Oct 2021","5702.9","5846.5","5694.3","5830.65"
"25 Oct 2021","5715.25","5747.5","5561.65","5679.65"
"22 Oct 2021","5865.25","5877.85","5645.25","5690.10"
"21 Oct 2021","6019.55","6040.1","5782.75","5868.40"
"20 Oct 2021","6085.9","6085.9","5919.05","5974.00"
"19 Oct 2021","6312.2","6312.2","6061.2","6099.35"
"18 Oct 2021","6157.2","6300.45","6133.55","6253.10"
"14 Oct 2021","5978.75","6079.55","5954.95","6019.20"
"13 Oct 2021","5845.6","5971.75","5812.3","5914.65"
"12 Oct 2021","5798.5","5837.15","5720.6","5829.35"
"11 Oct 2021","5718.8","5806.7","5707.65","5766.40"
"08 Oct 2021","5702.35","5791.65","5663.85","5681.45"
"07 Oct 2021","5697.9","5705.25","5643.8","5659.95"
"06 Oct 2021","5825.1","5859.3","5606.95","5627.35"
"05 Oct 2021","5777.15","5861.7","5773.55","5800.30"
"04 Oct 2021","5669.7","5816.1","5611.8","5807.35"
"01 Oct 2021","5571","5674.75","5524.25","5638.80"
"30 Sep 2021","5686.1","5733.1","5596.5","5611.25"
"29 Sep 2021","5502.9","5691.25","5492.15","5661.25"
"28 Sep 2021","5522.1","5587.05","5497.5","5534.60"
"27 Sep 2021","5501.4","5544.8","5478.85","5504.45"
"24 Sep 2021","5621.95","5627.3","5449.7","5498.20"
"23 Sep 2021","5607.7","5627.05","5579.5","5616.05"
