"Date","Open","High","Low","Close"
"12 Aug 2022","42132.00","42298.95","42052.55","42211.40"
"11 Aug 2022","42038.00","42125.95","41937.70","42095.30"
"10 Aug 2022","42026.30","42062.25","41596.80","41748.85"
"08 Aug 2022","41766.85","41930.70","41631.80","41894.15"
"05 Aug 2022","41899.05","42014.15","41612.30","41684.25"
"04 Aug 2022","41719.50","41837.45","41047.35","41724.90"
"03 Aug 2022","41666.40","41775.75","41121.80","41514.10"
"02 Aug 2022","41536.90","41738.60","41342.10","41674.05"
"01 Aug 2022","41124.95","41535.05","40853.40","41499.75"
"29 Jul 2022","40675.10","41016.55","40647.65","40906.15"
"28 Jul 2022","40112.15","40428.95","40007.00","40397.60"
"27 Jul 2022","39579.65","39967.45","39471.30","39938.85"
"26 Jul 2022","40164.10","40165.90","39522.95","39613.10"
"25 Jul 2022","40213.25","40218.90","39947.10","40122.50"
"22 Jul 2022","40472.70","40482.10","40013.90","40165.00"
"21 Jul 2022","39761.95","40381.95","39654.05","40314.40"
"20 Jul 2022","40022.70","40023.80","39653.70","39730.55"
"19 Jul 2022","39347.70","39733.55","39308.15","39657.70"
"18 Jul 2022","39228.45","39507.10","39140.30","39466.75"
"15 Jul 2022","38960.75","39087.65","38757.10","38944.35"
"14 Jul 2022","39010.35","39041.55","38390.95","38791.35"
"13 Jul 2022","39047.75","39157.40","38706.45","38835.75"
"12 Jul 2022","38854.35","39078.80","38749.30","38849.25"
"11 Jul 2022","38292.05","39053.45","38252.85","38979.60"
"08 Jul 2022","38499.75","38511.40","38069.45","38374.65"
"07 Jul 2022","38230.40","38332.30","38049.65","38264.40"
"06 Jul 2022","37318.90","37986.00","37221.75","37937.65"
"05 Jul 2022","37439.80","37696.65","37217.80","37306.00"
"04 Jul 2022","36937.15","37316.55","36833.80","37273.90"
"01 Jul 2022","36477.95","36991.40","36190.75","36901.20"
"30 Jun 2022","36712.15","36929.25","36440.50","36505.40"
"29 Jun 2022","36566.00","36807.70","36516.15","36679.25"
"28 Jun 2022","36772.10","36986.70","36420.65","36937.25"
"27 Jun 2022","37066.25","37093.40","36805.15","36882.45"
"24 Jun 2022","36419.90","36657.10","36353.85","36616.30"
"23 Jun 2022","35811.70","36279.50","35714.25","36141.10"
"22 Jun 2022","36232.65","36232.65","35616.00","35716.25"
"21 Jun 2022","35729.65","36481.15","35600.00","36381.05"
"20 Jun 2022","35805.95","35856.20","35018.20","35405.40"
"17 Jun 2022","36037.10","36262.10","35534.95","35668.20"
"16 Jun 2022","37438.00","37452.40","36103.50","36268.70"
"15 Jun 2022","37192.85","37238.10","36956.50","37036.10"
"14 Jun 2022","36859.90","37278.35","36612.75","36955.45"
"13 Jun 2022","37019.60","37178.30","36701.20","36842.00"
"10 Jun 2022","37654.40","37815.90","37514.70","37657.15"
"09 Jun 2022","37540.80","38038.75","37376.90","38002.95"
"08 Jun 2022","37965.90","38048.70","37503.55","37707.95"
"07 Jun 2022","37934.00","37969.55","37676.10","37826.10"
"06 Jun 2022","38179.00","38220.25","37687.30","38146.20"
