"Date","Open","High","Low","Close"
"12 Aug 2022","-","-","-","8178.75"
"11 Aug 2022","-","-","-","7998.85"
"10 Aug 2022","-","-","-","7985.45"
"08 Aug 2022","-","-","-","8000.35"
"05 Aug 2022","-","-","-","7977.80"
"04 Aug 2022","-","-","-","8005.75"
"03 Aug 2022","-","-","-","8011.60"
"02 Aug 2022","-","-","-","8009.05"
"01 Aug 2022","-","-","-","8007.70"
"29 Jul 2022","-","-","-","7841.70"
"28 Jul 2022","-","-","-","7674.60"
"27 Jul 2022","-","-","-","7616.95"
"26 Jul 2022","-","-","-","7551.60"
"25 Jul 2022","-","-","-","7579.80"
"22 Jul 2022","-","-","-","7684.50"
"21 Jul 2022","-","-","-","7696.40"
"20 Jul 2022","-","-","-","7621.35"
"19 Jul 2022","-","-","-","7544.20"
"18 Jul 2022","-","-","-","7553.75"
"15 Jul 2022","-","-","-","7468.95"
"14 Jul 2022","-","-","-","7427.70"
"13 Jul 2022","-","-","-","7329.20"
"12 Jul 2022","-","-","-","7427.45"
"11 Jul 2022","-","-","-","7451.85"
"08 Jul 2022","-","-","-","7317.15"
"07 Jul 2022","-","-","-","7302.50"
"06 Jul 2022","-","-","-","7254.00"
"05 Jul 2022","-","-","-","7266.55"
"04 Jul 2022","-","-","-","7253.80"
"01 Jul 2022","7560.30","7630.95","7217.70","7283.70"
"30 Jun 2022","-","-","-","7600.70"
"29 Jun 2022","-","-","-","7620.70"
"28 Jun 2022","-","-","-","7544.05"
"27 Jun 2022","-","-","-","7376.80"
"24 Jun 2022","-","-","-","7328.80"
"23 Jun 2022","-","-","-","7245.95"
"22 Jun 2022","-","-","-","7277.20"
"21 Jun 2022","-","-","-","7437.85"
"20 Jun 2022","-","-","-","7094.85"
"17 Jun 2022","-","-","-","7334.25"
"16 Jun 2022","-","-","-","7504.25"
"15 Jun 2022","-","-","-","7649.85"
"14 Jun 2022","-","-","-","7708.75"
"13 Jun 2022","-","-","-","7803.25"
"10 Jun 2022","-","-","-","8017.65"
"09 Jun 2022","-","-","-","8187.55"
"08 Jun 2022","-","-","-","8030.00"
"07 Jun 2022","-","-","-","8104.90"
"06 Jun 2022","-","-","-","8032.85"
"03 Jun 2022","-","-","-","7988.95"
"02 Jun 2022","-","-","-","7975.40"
"01 Jun 2022","-","-","-","7797.75"
"31 May 2022","-","-","-","7828.50"
"30 May 2022","-","-","-","7885.75"
"27 May 2022","-","-","-","7686.20"
"26 May 2022","-","-","-","7764.20"
"25 May 2022","-","-","-","7711.05"
"24 May 2022","-","-","-","7805.15"
"23 May 2022","-","-","-","7835.35"
"20 May 2022","-","-","-","7963.30"
"19 May 2022","-","-","-","7745.40"
"18 May 2022","-","-","-","7924.45"
"17 May 2022","-","-","-","7963.40"
"16 May 2022","-","-","-","7680.95"
"13 May 2022","-","-","-","7646.65"
"12 May 2022","-","-","-","7619.00"
"11 May 2022","-","-","-","7723.50"
"10 May 2022","-","-","-","7725.80"
"09 May 2022","-","-","-","7906.85"
"06 May 2022","-","-","-","8072.30"
"05 May 2022","-","-","-","8089.60"
"04 May 2022","-","-","-","8111.50"
"02 May 2022","-","-","-","8187.55"
"29 Apr 2022","-","-","-","8194.90"
"28 Apr 2022","-","-","-","8386.10"
"27 Apr 2022","-","-","-","8285.45"
"26 Apr 2022","-","-","-","8370.45"
"25 Apr 2022","-","-","-","8216.60"
"22 Apr 2022","-","-","-","8420.45"
"21 Apr 2022","-","-","-","8488.25"
"20 Apr 2022","-","-","-","8420.60"
"19 Apr 2022","-","-","-","8260.25"
"18 Apr 2022","8198.25","8226.70","8139.05","8198.70"
"13 Apr 2022","-","-","-","8223.25"
"12 Apr 2022","-","-","-","8163.65"
"11 Apr 2022","-","-","-","8361.90"
"08 Apr 2022","-","-","-","8209.80"
"07 Apr 2022","-","-","-","8081.15"
"06 Apr 2022","-","-","-","8266.35"
"05 Apr 2022","-","-","-","8193.95"
"04 Apr 2022","8069.30","8158.15","8057.10","8150.05"
"01 Apr 2022","7896.60","8072.55","7884.70","8047.85"
"31 Mar 2022","-","-","-","7866.25"
"30 Mar 2022","-","-","-","7853.65"
"29 Mar 2022","-","-","-","7882.70"
"28 Mar 2022","-","-","-","7900.00"
"25 Mar 2022","-","-","-","7829.60"
"24 Mar 2022","-","-","-","7817.40"
"23 Mar 2022","-","-","-","7730.10"
"22 Mar 2022","-","-","-","7697.35"
"21 Mar 2022","-","-","-","7555.85"
"17 Mar 2022","-","-","-","7604.50"
"16 Mar 2022","-","-","-","7461.65"
"15 Mar 2022","-","-","-","7313.40"
"14 Mar 2022","-","-","-","7502.35"
"11 Mar 2022","-","-","-","7542.05"
"10 Mar 2022","-","-","-","7479.95"
"09 Mar 2022","-","-","-","7403.95"
"08 Mar 2022","-","-","-","7326.90"
"07 Mar 2022","-","-","-","7378.75"
"04 Mar 2022","-","-","-","7388.00"
"23 Feb 2022","-","-","-","7340.55"
"22 Feb 2022","-","-","-","7346.00"
"21 Feb 2022","-","-","-","7411.05"
"18 Feb 2022","-","-","-","7558.45"
"17 Feb 2022","-","-","-","7641.15"
"16 Feb 2022","-","-","-","7584.15"
"15 Feb 2022","-","-","-","7548.95"
"14 Feb 2022","-","-","-","7420.85"
"11 Feb 2022","-","-","-","7601.30"
"10 Feb 2022","-","-","-","7610.25"
"09 Feb 2022","-","-","-","7577.45"
"08 Feb 2022","-","-","-","7595.75"
"07 Feb 2022","7669.95","7686.00","7578.00","7615.05"
"04 Feb 2022","-","-","-","7626.50"
"03 Feb 2022","-","-","-","7653.10"
"02 Feb 2022","-","-","-","7739.45"
"01 Feb 2022","-","-","-","7698.85"
"31 Jan 2022","-","-","-","7754.60"
"28 Jan 2022","-","-","-","7641.35"
"27 Jan 2022","-","-","-","7599.80"
"25 Jan 2022","-","-","-","7640.85"
"24 Jan 2022","-","-","-","7573.00"
"21 Jan 2022","-","-","-","7766.90"
"20 Jan 2022","-","-","-","7856.35"
"19 Jan 2022","-","-","-","7928.05"
"18 Jan 2022","7976.75","8000.10","7873.00","7885.50"
"17 Jan 2022","-","-","-","7949.60"
"14 Jan 2022","-","-","-","7902.05"
"13 Jan 2022","-","-","-","7915.40"
"12 Jan 2022","-","-","-","7867.95"
"11 Jan 2022","-","-","-","7755.30"
"10 Jan 2022","-","-","-","7733.90"
"07 Jan 2022","-","-","-","7703.75"
"06 Jan 2022","-","-","-","7608.10"
"05 Jan 2022","-","-","-","7623.95"
"04 Jan 2022","-","-","-","7532.30"
"03 Jan 2022","-","-","-","7432.60"
"31 Dec 2021","7297.1","7375.3","7287.55","7348.80"
"30 Dec 2021","7349.1","7365.4","7252.1","7272.45"
"29 Dec 2021","7388.9","7419.15","7341.65","7371.60"
"28 Dec 2021","7350.1","7402.35","7339.65","7389.35"
"27 Dec 2021","7258.3","7317.95","7206.2","7308.70"
"24 Dec 2021","7374.7","7379.55","7246","7294.40"
"23 Dec 2021","7349.4","7379.1","7316","7362.55"
"22 Dec 2021","7213.5","7306.25","7175.1","7279.60"
"21 Dec 2021","7133.95","7260.55","7107.8","7173.05"
"20 Dec 2021","7275.65","7279.95","7067.9","7113.80"
"17 Dec 2021","7541.35","7554.6","7348.9","7381.25"
"16 Dec 2021","7623.95","7626.65","7540.6","7570.85"
"15 Dec 2021","7608.9","7632.75","7539.05","7551.70"
"14 Dec 2021","7541.65","7622.35","7524.9","7612.95"
"13 Dec 2021","7759.65","7764.75","7555.85","7584.15"
"10 Dec 2021","7596.85","7701.35","7593.45","7689.55"
"09 Dec 2021","7609.45","7653.65","7561.6","7637.90"
"08 Dec 2021","7540.55","7609.1","7533.75","7559.45"
"07 Dec 2021","7421.25","7498.85","7403.65","7469.90"
"06 Dec 2021","7498.7","7503.75","7336.3","7362.05"
"03 Dec 2021","7592.55","7617.8","7465.1","7482.60"
"02 Dec 2021","7463.7","7572.5","7459.5","7562.05"
"01 Dec 2021","7446","7473.9","7402.65","7459.75"
"30 Nov 2021","7418","7561.55","7354.2","7390.10"
"29 Nov 2021","7447.85","7509.95","7336.75","7406.30"
"26 Nov 2021","7648.45","7675.05","7454.9","7478.70"
"25 Nov 2021","7644.6","7768.65","7593.3","7748.75"
"24 Nov 2021","7601.85","7686.6","7582.3","7606.40"
"23 Nov 2021","7422.5","7588.65","7400.55","7570.45"
"22 Nov 2021","7687.4","7705.25","7454.65","7493.80"
"18 Nov 2021","7799.95","7810.95","7721.55","7753.80"
"17 Nov 2021","7888.8","7894.6","7789","7808.55"
"16 Nov 2021","8033.7","8044.05","7891.2","7924.15"
"15 Nov 2021","8066.15","8106.55","8017.7","8033.65"
"12 Nov 2021","8011.45","8050.95","7982.4","8029.00"
"11 Nov 2021","7979.3","8008.5","7952.35","7972.95"
"10 Nov 2021","7963","8041.55","7943.05","8023.00"
"09 Nov 2021","7931.9","7974","7904.6","7963.00"
"08 Nov 2021","7796.5","7908.2","7738.05","7897.20"
"04 Nov 2021","7756.3","7770.25","7745.8","7758.35"
"03 Nov 2021","7727.7","7794.25","7676.1","7716.95"
"02 Nov 2021","7810.35","7816.55","7715.65","7720.50"
"01 Nov 2021","7736.85","7799.7","7688.75","7783.80"
"29 Oct 2021","7711.55","7797.7","7645.25","7704.30"
"28 Oct 2021","7871.1","7927.45","7731.25","7755.30"
"27 Oct 2021","7989.55","8026.75","7910.1","7926.70"
"26 Oct 2021","7915.4","7999.95","7893.95","7988.05"
"25 Oct 2021","8008.95","8014.65","7812.8","7891.05"
"22 Oct 2021","7986","8013.15","7890.85","7928.10"
"21 Oct 2021","8078.25","8084","7920.6","7959.55"
"20 Oct 2021","8143.85","8147.35","7959.65","7995.90"
"19 Oct 2021","8260.05","8266.6","8111.7","8129.85"
"18 Oct 2021","8237.3","8284.75","8203.4","8216.85"
"14 Oct 2021","8148.8","8195.65","8140.7","8155.45"
"13 Oct 2021","8127.25","8168.55","8087.9","8133.25"
"12 Oct 2021","8087.7","8111.6","8030.5","8100.80"
"11 Oct 2021","8110.05","8168.6","8080.25","8086.55"
"08 Oct 2021","8058.1","8090.3","7969.55","8060.65"
"07 Oct 2021","8097.35","8098.85","7980.2","7995.80"
"06 Oct 2021","8092.5","8161.45","7990.65","8017.70"
"05 Oct 2021","7847.15","8043.25","7837.85","8036.00"
"04 Oct 2021","7851.9","7856.8","7799.5","7819.30"
"01 Oct 2021","7769.6","7863.4","7753","7797.00"
"30 Sep 2021","7795.2","7807.5","7716.25","7774.40"
"29 Sep 2021","7720.5","7804.15","7658.45","7777.45"
"28 Sep 2021","7657.65","7746.7","7643.2","7726.10"
"27 Sep 2021","7555.8","7634.3","7545.95","7624.55"
"24 Sep 2021","7602.1","7613.4","7497.25","7525.70"
"23 Sep 2021","7490.15","7577.6","7488.45","7567.10"
"22 Sep 2021","7415.5","7472.15","7406.15","7440.10"
"21 Sep 2021","7351.95","7437.45","7330.4","7416.45"
"20 Sep 2021","7348.3","7471.1","7327.35","7351.65"
"17 Sep 2021","7586.75","7602.05","7423.1","7446.85"
"16 Sep 2021","7472.65","7560.35","7468.2","7554.05"
"15 Sep 2021","7415.35","7501.05","7415.3","7463.70"
"14 Sep 2021","7389.4","7430.7","7384.5","7401.15"
"13 Sep 2021","7389.7","7403.45","7313.2","7367.05"
"09 Sep 2021","7364.25","7432.25","7339.8","7391.65"
"08 Sep 2021","7316.9","7386.1","7296.75","7376.00"
"07 Sep 2021","7388.75","7406.45","7321","7338.60"
"06 Sep 2021","7449.1","7490.9","7373.35","7388.40"
"03 Sep 2021","7266.1","7412.35","7245.55","7404.40"
"02 Sep 2021","7169.3","7243.65","7168.15","7225.15"
"01 Sep 2021","7244.45","7256.5","7191.55","7205.40"
"31 Aug 2021","7132.6","7186.95","7085.25","7174.70"
"30 Aug 2021","7036.05","7125.5","7014.85","7114.75"
"27 Aug 2021","7011.05","7030.6","6938.9","6992.45"
"26 Aug 2021","6949","6986.3","6928.2","6968.40"
"25 Aug 2021","6880.9","6936.6","6871.35","6911.40"
"24 Aug 2021","6776.9","6843.1","6774.55","6835.05"
"23 Aug 2021","6774.85","6776.9","6651.3","6722.10"
"20 Aug 2021","6710.45","6754.4","6668.3","6692.80"
"18 Aug 2021","6780.3","6801.1","6741.75","6766.65"
"17 Aug 2021","6754.15","6776.9","6687.35","6749.45"
"16 Aug 2021","6698.8","6781.6","6674.45","6751.10"
"13 Aug 2021","6663.35","6695.1","6645.9","6688.85"
"12 Aug 2021","6636.35","6662.5","6625.7","6642.90"
"11 Aug 2021","6566.2","6634.55","6508.75","6626.55"
"10 Aug 2021","6605.3","6627.45","6514.8","6547.40"
"09 Aug 2021","6653.85","6664.1","6553.8","6582.20"
"31 Dec 2020","-","-","-","5524.05"
"30 Dec 2020","-","-","-","5542.50"
"29 Dec 2020","-","-","-","5535.17"
"28 Dec 2020","-","-","-","5538.03"
"24 Dec 2020","-","-","-","5484.13"
"23 Dec 2020","-","-","-","5394.47"
"22 Dec 2020","-","-","-","5367.29"
"21 Dec 2020","-","-","-","5301.39"
"18 Dec 2020","-","-","-","5607.17"
"17 Dec 2020","-","-","-","5639.36"
"16 Dec 2020","-","-","-","5678.06"
"15 Dec 2020","-","-","-","5652.26"
"14 Dec 2020","-","-","-","5704.83"
"11 Dec 2020","-","-","-","5617.22"
"10 Dec 2020","-","-","-","5537.88"
"09 Dec 2020","-","-","-","5576.84"
"08 Dec 2020","-","-","-","5523.29"
"07 Dec 2020","-","-","-","5522.51"
"04 Dec 2020","-","-","-","5463.15"
"03 Dec 2020","-","-","-","5463.37"
"02 Dec 2020","-","-","-","5398.23"
"01 Dec 2020","-","-","-","5317.40"
"27 Nov 2020","-","-","-","5217.53"
"26 Nov 2020","-","-","-","5194.55"
"25 Nov 2020","-","-","-","5204.29"
"24 Nov 2020","-","-","-","5206.42"
"23 Nov 2020","-","-","-","5190.67"
"20 Nov 2020","-","-","-","5072.94"
"19 Nov 2020","-","-","-","5092.66"
"18 Nov 2020","-","-","-","5123.79"
"17 Nov 2020","-","-","-","5101.72"
"14 Nov 2020","-","-","-","5117.64"
"13 Nov 2020","-","-","-","5057.14"
"12 Nov 2020","-","-","-","5029.78"
"11 Nov 2020","-","-","-","5040.54"
"10 Nov 2020","-","-","-","5035.72"
"09 Nov 2020","-","-","-","4947.95"
"06 Nov 2020","-","-","-","4882.95"
"05 Nov 2020","-","-","-","4820.05"
"04 Nov 2020","-","-","-","4684.29"
"03 Nov 2020","-","-","-","4632.70"
"02 Nov 2020","-","-","-","4646.26"
"30 Oct 2020","-","-","-","4806.91"
"29 Oct 2020","-","-","-","4738.35"
"28 Oct 2020","-","-","-","4729.40"
"27 Oct 2020","-","-","-","4771.95"
"26 Oct 2020","-","-","-","4755.22"
"23 Oct 2020","-","-","-","4857.05"
"22 Oct 2020","-","-","-","4846.33"
"21 Oct 2020","-","-","-","4806.04"
"20 Oct 2020","-","-","-","4789.65"
"19 Oct 2020","-","-","-","4844.03"
"16 Oct 2020","-","-","-","4777.30"
"15 Oct 2020","-","-","-","4741.48"
"14 Oct 2020","-","-","-","4816.26"
"13 Oct 2020","-","-","-","4853.76"
"12 Oct 2020","-","-","-","4850.55"
"09 Oct 2020","-","-","-","4890.82"
"08 Oct 2020","-","-","-","4871.29"
"07 Oct 2020","-","-","-","4907.84"
"06 Oct 2020","-","-","-","4906.81"
"05 Oct 2020","-","-","-","4916.19"
"01 Oct 2020","-","-","-","4920.95"
"30 Sep 2020","-","-","-","4914.80"
"29 Sep 2020","-","-","-","4990.99"
"28 Sep 2020","-","-","-","5000.28"
"25 Sep 2020","-","-","-","4908.07"
"24 Sep 2020","-","-","-","4822.88"
"23 Sep 2020","-","-","-","4952.75"
"22 Sep 2020","-","-","-","4966.03"
"21 Sep 2020","-","-","-","5081.94"
"18 Sep 2020","-","-","-","5221.17"
"17 Sep 2020","-","-","-","5221.69"
"16 Sep 2020","-","-","-","5252.69"
"15 Sep 2020","-","-","-","5273.71"
"14 Sep 2020","-","-","-","5237.32"
"11 Sep 2020","-","-","-","5249.23"
