"Date","Open","High","Low","Close"
"12 Aug 2022","13016.50","13017.50","12830.45","12864.00"
"11 Aug 2022","12998.40","13033.75","12961.40","13014.20"
"10 Aug 2022","12986.25","13053.10","12915.50","12950.70"
"08 Aug 2022","12952.05","12962.95","12878.10","12940.25"
"05 Aug 2022","13003.85","13068.30","12920.00","12939.75"
"04 Aug 2022","12720.05","12992.25","12681.30","12982.35"
"03 Aug 2022","12789.05","12829.10","12618.20","12682.00"
"02 Aug 2022","12765.50","12792.95","12699.95","12780.40"
"01 Aug 2022","12835.40","12883.75","12707.70","12766.85"
"29 Jul 2022","12677.75","12835.45","12526.30","12776.55"
"28 Jul 2022","12665.60","12682.20","12500.20","12660.65"
"27 Jul 2022","12341.65","12647.75","12301.85","12628.95"
"26 Jul 2022","12495.65","12508.80","12325.00","12341.90"
"25 Jul 2022","12612.35","12640.80","12454.25","12488.80"
"22 Jul 2022","12687.80","12711.15","12573.90","12617.55"
"21 Jul 2022","12710.10","12756.35","12599.50","12651.75"
"20 Jul 2022","12786.40","12786.40","12685.60","12711.50"
"19 Jul 2022","12680.40","12820.25","12663.15","12682.20"
"18 Jul 2022","12827.35","12869.40","12668.45","12713.45"
"15 Jul 2022","12775.40","12800.75","12665.00","12732.00"
"14 Jul 2022","12664.40","12855.65","12630.50","12721.00"
"13 Jul 2022","12494.70","12639.15","12442.55","12622.30"
"12 Jul 2022","12516.50","12587.30","12428.75","12450.65"
"11 Jul 2022","12447.85","12598.70","12386.90","12564.85"
"08 Jul 2022","12449.30","12460.05","12392.35","12449.45"
"07 Jul 2022","12408.70","12450.85","12370.60","12389.70"
"06 Jul 2022","12264.00","12350.70","12220.40","12331.15"
"05 Jul 2022","12254.65","12373.90","12217.40","12233.75"
"04 Jul 2022","12240.30","12344.55","12143.95","12218.20"
"01 Jul 2022","12124.45","12296.30","12084.00","12260.90"
"30 Jun 2022","12176.15","12252.60","12110.20","12159.35"
"29 Jun 2022","12139.45","12249.80","12099.35","12210.95"
"28 Jun 2022","12224.40","12235.95","12100.85","12214.55"
"27 Jun 2022","12275.80","12325.75","12200.10","12221.55"
"24 Jun 2022","12173.25","12270.50","12150.55","12178.40"
"23 Jun 2022","11969.95","12145.05","11947.90","12127.20"
"22 Jun 2022","12050.65","12147.65","11893.15","11939.05"
"21 Jun 2022","11887.00","12118.05","11882.70","12098.35"
"20 Jun 2022","11815.00","11886.10","11726.40","11847.90"
"17 Jun 2022","12000.65","12038.25","11745.05","11803.95"
