"Date","Open","High","Low","Close"
"12 Aug 2022","19890.15","19963.45","19783.45","19940.35"
"11 Aug 2022","19806.60","19907.65","19772.60","19866.10"
"10 Aug 2022","19516.65","19634.60","19453.30","19593.75"
"08 Aug 2022","19251.65","19520.95","19183.50","19488.15"
"05 Aug 2022","19227.75","19359.35","19181.15","19251.15"
"04 Aug 2022","19365.00","19434.45","18940.00","19171.90"
"03 Aug 2022","19294.80","19361.90","19136.25","19302.60"
"02 Aug 2022","19183.25","19405.20","19112.50","19332.95"
"01 Aug 2022","19097.60","19279.30","19005.55","19257.60"
"29 Jul 2022","19109.00","19128.45","18884.80","19045.70"
"28 Jul 2022","18761.30","18949.40","18718.65","18936.60"
"27 Jul 2022","18400.80","18610.05","18338.20","18591.35"
"26 Jul 2022","18575.60","18580.75","18390.60","18427.75"
"25 Jul 2022","18624.35","18763.75","18478.65","18602.85"
"22 Jul 2022","18417.30","18648.80","18398.70","18616.60"
"21 Jul 2022","18207.65","18431.60","18118.35","18354.15"
"20 Jul 2022","18260.65","18305.30","18090.90","18141.50"
"19 Jul 2022","17731.10","18094.05","17727.90","18072.20"
"18 Jul 2022","17553.85","17878.55","17533.50","17862.60"
"15 Jul 2022","17489.40","17578.50","17363.35","17462.50"
"14 Jul 2022","17500.40","17612.40","17402.45","17451.10"
"13 Jul 2022","17753.25","17757.00","17424.60","17494.55"
"12 Jul 2022","17761.45","17827.20","17640.05","17679.45"
"11 Jul 2022","17586.05","17883.15","17577.85","17849.85"
"08 Jul 2022","17746.20","17747.50","17567.10","17636.25"
"07 Jul 2022","17411.15","17589.55","17374.20","17565.60"
"06 Jul 2022","17070.50","17292.20","17040.75","17259.05"
"05 Jul 2022","17157.75","17289.15","16983.35","17017.60"
"04 Jul 2022","16852.45","17114.80","16848.75","17091.90"
"01 Jul 2022","16648.30","16896.80","16554.50","16834.05"
"30 Jun 2022","16656.35","16868.35","16656.35","16720.95"
"29 Jun 2022","16709.45","16763.65","16648.95","16696.10"
"28 Jun 2022","16892.40","16945.85","16814.65","16885.40"
"27 Jun 2022","17147.25","17154.45","16966.60","17010.20"
"24 Jun 2022","16758.70","16915.60","16732.55","16887.35"
"23 Jun 2022","16499.85","16753.10","16323.45","16596.10"
"22 Jun 2022","16592.85","16624.45","16408.05","16451.75"
"21 Jun 2022","16571.45","16846.45","16469.65","16649.55"
"20 Jun 2022","16599.75","16621.20","16280.15","16417.90"
"17 Jun 2022","16357.65","16610.65","16295.10","16531.95"
"16 Jun 2022","17037.25","17086.20","16421.15","16464.35"
"15 Jun 2022","16900.30","16980.25","16824.05","16867.20"
"14 Jun 2022","16852.80","17086.20","16811.90","16883.75"
"13 Jun 2022","17183.75","17213.35","16870.75","16960.40"
"10 Jun 2022","17695.75","17730.45","17513.25","17588.25"
"09 Jun 2022","17700.50","17935.95","17665.70","17898.45"
"08 Jun 2022","17935.10","18066.40","17721.95","17782.75"
"07 Jun 2022","17902.95","17930.45","17764.60","17860.30"
"06 Jun 2022","17915.60","18083.70","17876.35","18019.85"
"03 Jun 2022","18338.55","18352.55","17930.75","17982.75"
"02 Jun 2022","18087.80","18204.70","18042.00","18172.15"
"01 Jun 2022","18034.70","18239.80","17992.60","18170.95"
"31 May 2022","18124.10","18284.85","18016.75","18112.40"
"30 May 2022","18297.65","18373.50","18203.85","18252.15"
"27 May 2022","17907.90","18134.95","17891.65","18106.90"
"26 May 2022","17627.30","17849.30","17447.60","17779.00"
"25 May 2022","17532.90","17640.90","17433.30","17453.35"
"24 May 2022","17395.35","17563.85","17334.05","17406.60"
"23 May 2022","17447.50","17694.95","17342.05","17405.10"
"20 May 2022","17190.00","17444.05","17135.20","17410.50"
"19 May 2022","17053.95","17146.20","16875.70","16947.45"
"18 May 2022","17530.90","17653.70","17399.95","17420.50"
"17 May 2022","17185.90","17482.55","17138.25","17455.00"
"16 May 2022","16911.90","17205.10","16776.30","17090.00"
"13 May 2022","17159.05","17204.15","16778.85","16830.05"
"12 May 2022","17387.70","17417.90","16838.65","16957.90"
"11 May 2022","17586.20","17620.85","17305.00","17573.60"
"10 May 2022","17296.15","17637.30","17295.70","17480.10"
"09 May 2022","17275.00","17479.90","17152.75","17349.30"
"06 May 2022","17564.55","17642.00","17421.80","17507.00"
"05 May 2022","18198.20","18279.80","17841.00","17897.15"
"04 May 2022","18477.20","18501.85","17899.90","17969.15"
"02 May 2022","18093.85","18451.75","18085.40","18414.60"
"29 Apr 2022","18498.90","18649.55","18277.50","18326.30"
"28 Apr 2022","18386.35","18519.45","18260.00","18479.60"
"27 Apr 2022","18310.85","18389.60","18161.55","18302.45"
"26 Apr 2022","18543.90","18579.30","18402.70","18478.55"
"25 Apr 2022","18154.85","18404.05","18020.95","18306.50"
"22 Apr 2022","18502.45","18540.35","18264.80","18288.70"
"21 Apr 2022","18470.40","18703.10","18425.60","18655.10"
"20 Apr 2022","18453.30","18487.55","18283.35","18377.50"
"19 Apr 2022","18656.10","18783.25","18170.30","18376.20"
"18 Apr 2022","18639.45","18713.55","18464.35","18619.40"
"13 Apr 2022","19193.60","19241.40","18912.65","18942.70"
"12 Apr 2022","18922.45","19192.15","18848.05","19108.75"
"11 Apr 2022","19006.30","19190.20","18958.80","19022.15"
"08 Apr 2022","19000.85","19137.90","18907.95","19076.85"
"07 Apr 2022","18930.80","19203.45","18885.05","18979.80"
"06 Apr 2022","19088.40","19171.25","18986.40","19023.10"
"05 Apr 2022","19616.10","19626.55","19204.00","19269.70"
"04 Apr 2022","19162.80","19619.60","19083.05","19570.05"
"01 Apr 2022","18381.60","18859.95","18352.10","18831.05"
"31 Mar 2022","18453.65","18511.05","18338.05","18420.80"
"30 Mar 2022","18307.65","18427.45","18219.50","18367.10"
