"Date","Open","High","Low","Close"
"12 Aug 2022","2870.75","2891.45","2864.60","2879.60"
"11 Aug 2022","2828.80","2888.25","2826.95","2870.65"
"10 Aug 2022","2820.95","2829.10","2795.25","2803.80"
"08 Aug 2022","2819.25","2829.00","2793.85","2816.80"
"05 Aug 2022","2850.10","2881.55","2822.10","2829.40"
"04 Aug 2022","2902.60","2910.30","2796.15","2841.00"
"03 Aug 2022","2903.70","2913.80","2861.10","2891.60"
"02 Aug 2022","2813.80","2935.45","2811.90","2906.95"
"01 Aug 2022","2798.75","2843.20","2766.20","2831.20"
"29 Jul 2022","2830.85","2836.20","2778.25","2784.95"
"28 Jul 2022","2825.65","2849.35","2804.40","2818.05"
"27 Jul 2022","2753.30","2812.15","2746.80","2807.40"
"26 Jul 2022","2776.75","2781.35","2745.80","2752.10"
"25 Jul 2022","2783.60","2793.05","2748.05","2771.25"
"22 Jul 2022","2783.95","2806.90","2771.80","2787.90"
"21 Jul 2022","2725.65","2777.85","2719.75","2771.35"
"20 Jul 2022","2743.15","2751.95","2718.40","2726.95"
"19 Jul 2022","2651.75","2724.95","2646.65","2721.20"
"18 Jul 2022","2615.00","2666.35","2602.10","2660.15"
"15 Jul 2022","2610.80","2621.05","2565.95","2588.35"
"14 Jul 2022","2655.40","2659.30","2579.45","2599.45"
"13 Jul 2022","2669.65","2692.60","2650.80","2658.10"
"12 Jul 2022","2643.00","2685.15","2638.50","2656.35"
"11 Jul 2022","2593.90","2666.00","2590.25","2659.05"
"08 Jul 2022","2615.05","2619.20","2585.50","2609.95"
"07 Jul 2022","2531.90","2604.80","2528.25","2600.75"
"06 Jul 2022","2495.50","2520.30","2491.00","2514.65"
"05 Jul 2022","2503.00","2527.25","2483.80","2488.30"
"04 Jul 2022","2452.40","2493.55","2451.85","2488.45"
"01 Jul 2022","2431.95","2457.20","2408.95","2447.90"
"30 Jun 2022","2459.15","2488.85","2432.55","2434.75"
"29 Jun 2022","2461.15","2466.50","2452.15","2460.55"
"28 Jun 2022","2462.25","2488.75","2459.90","2483.50"
"27 Jun 2022","2490.95","2497.65","2466.75","2472.05"
"24 Jun 2022","2432.05","2468.50","2429.90","2460.40"
"23 Jun 2022","2405.80","2437.50","2374.45","2412.60"
"22 Jun 2022","2394.25","2416.95","2372.90","2401.85"
"21 Jun 2022","2329.60","2420.55","2327.25","2403.10"
"20 Jun 2022","2379.35","2387.75","2283.85","2309.30"
"17 Jun 2022","2373.80","2399.45","2344.80","2368.20"
"16 Jun 2022","2479.10","2490.60","2380.30","2387.20"
"15 Jun 2022","2459.30","2475.20","2445.95","2453.35"
"14 Jun 2022","2454.95","2494.15","2451.45","2462.65"
"13 Jun 2022","2511.95","2517.50","2454.60","2473.00"
"10 Jun 2022","2547.55","2569.00","2546.10","2564.80"
"09 Jun 2022","2577.05","2585.30","2553.90","2577.60"
"08 Jun 2022","2579.20","2621.70","2557.85","2585.00"
"07 Jun 2022","2562.45","2591.10","2552.20","2566.80"
"06 Jun 2022","2580.05","2586.90","2532.50","2574.60"
"03 Jun 2022","2641.15","2648.40","2578.00","2582.70"
"02 Jun 2022","2591.40","2634.55","2590.30","2620.00"
