Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,SAMSUNG,15890,18990,16% off,4.4,4986 Ratings & 509 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,SAMSUNG,12990,14990,13% off,4.4,36203 Ratings & 3366 Reviews,['Linear Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years on Compressor From Samsung']
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,SAMSUNG,24490,31990,23% off,4.4,22108 Ratings & 2161 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,SAMSUNG,16490,19990,17% off,4.4,13283 Ratings & 1437 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,SAMSUNG,26290,34990,24% off,4.4,12736 Ratings & 1255 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,Godrej,13990,16490,15% off,4.3,14068 Ratings & 1524 Reviews,['Intelligent Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Godrej']
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,SAMSUNG,22990,32990,30% off,4.4,7758 Ratings & 787 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,SAMSUNG,16490,19990,17% off,4.5,57394 Ratings & 6520 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,SAMSUNG,17990,21990,18% off,4.5,57394 Ratings & 6520 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,LG,25490,36390,29% off,4.4,8122 Ratings & 757 Reviews,['Smart Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor from LG']
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,Whirlpool,20990,29350,28% off,4.3,5316 Ratings & 572 Reviews,['Normal Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor']
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,SAMSUNG,24690,32990,25% off,4.4,7758 Ratings & 787 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,LG,25490,33690,24% off,4.4,16902 Ratings & 2027 Reviews,['Smart Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor from LG']
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,Lloyd,14990,24390,38% off,4.4,2264 Ratings & 267 Reviews,['Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Lloyd']
SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,SAMSUNG,28990,36990,21% off,4.4,6527 Ratings & 696 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,SAMSUNG,14790,16990,12% off,4.4,3591 Ratings & 350 Reviews,['Liner Compressor' '1 Year on Product and 10 Years on Compressor From Samsung']
SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator  with Curd Maestro,SAMSUNG,19490,25990,25% off,4.6,416 Ratings & 47 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,Godrej,12190,16350,25% off,4.3,3771 Ratings & 359 Reviews,['Reciprocatory Compressor' 'Built-in Stabilizer' '1 Year Comprehensive Warranty on Product and 5 Years on Motor']
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,LG,17690,21490,17% off,4.4,9679 Ratings & 1040 Reviews,['Smart Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From LG']
SAMSUNG 255 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,SAMSUNG,20390,25990,21% off,4.3,3841 Ratings & 500 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,Whirlpool,25990,34050,23% off,4.3,28704 Ratings & 3078 Reviews,['Digital Inverter' 'Built-in Stabilizer' '1 Year Warranty on Unit and 10 Years Warranty on Compressor from Whirlpool']
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,CANDY,9990,12000,16% off,4.3,6744 Ratings & 839 Reviews,['Reciprocatory Compressor' 'Built-in Stabilizer' '1 Year Warranty On Product and 10 Years on Compressor']
Whirlpool 240 L Frost Free Triple Door Refrigerator,Whirlpool,25490,33250,23% off,4.4,31315 Ratings & 3863 Reviews,['Normal Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool']
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,SAMSUNG,14590,17990,18% off,4.4,8121 Ratings & 843 Reviews,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor']
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,Godrej,20290,21900,7% off,4.3,5335 Ratings & 578 Reviews,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej']
