Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
Noise ColorFit Caliber Go with 1.69 inch HD Display 40 Sports Modes 150+ Watch Faces Smartwatch,Noise,1999,3999,50% off,4.2,18966 Ratings†&†1529 Reviews,"[""1.69'' TFT display (240*280px 500 nits 218 PPI)"" 'Noise Health Suite (SpO2 24*7 heart rate tracking activity tracker sleep tracker stress monitor & female health tracker)' 'Productivity and utility features (hand wash reminder drink water reminder DND weather forecast call mute & rejection alarm idle alert stopwatch timer remote music control & find my phone)' '40 sports modes (10 inbuilt & 30 in app) | 150+ cloud-based watch faces' 'Up to 10 days of battery (300mAh)' '5 color options: Jet black Rose pink Olive green Midnight blue Mist grey' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Manufacturer Warranty']"
boAt Storm Pro Call with Bluetooth Calling 1.78'' AMOLED Display and ASAP Charge Smartwatch,boAt,3299,9799,66% off,4.1,9288 Ratings†&†1052 Reviews,"['Bluetooth Calling with Dial Pad' ""1.78'' AMOLED Display"" '60 Hz Refresh Rate' 'ASAP Charge: Full Charge in 30 Mins' '700+ Active Modes' 'Health Ecosystem with boAt Crest App' 'IP68: Dust Sweat and Splash Resistant' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Warranty from the Date of Purchase']"
"Noise ColorFit Caliber Smart Watch with 15-day battery 1.69"" display 60 Sports Modes Smartwatch",Noise,1499,3999,62% off,4.2,243784 Ratings†&†24606 Reviews,"['4.2 cm (1.69"") LCD full touch screen' '150+ customizable and cloud based watch faces' '60 Sports Mode|Body Temperature sensor' 'IP68 water resistant' 'Quick replies (Android only)' 'Blood oxygen Heart rate monitor Stress monitor and sleep monitor' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 15 days' '1 Year Manufacturer Warranty']"
Noise ColorFit Icon 2 1.8 Display Bluetooth Calling AI Voice Assistance Smartwatch,Noise,2199,5999,63% off,4.2,47184 Ratings†&†4105 Reviews,['1.8 display (500 nits brightness)| Bluetooth calling| AI voice assistant' '100+ cloud-based watch faces| In-built games' 'Noise Health SuiteTM (SpO2 24*7 heart rate tracking sleep monitor & activity tracker)' '60 sports modes| IP67 waterproof | 7-day battery' 'Utility features (stopwatch alarm timer weather find my phone camera & music controls)' 'NoiseFit Track app' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
"Noise Icon Buzz BT Calling with 1.69"" display  AI Voice Assistance Built-In Games Smartwatch",Noise,1999,4999,60% off,4.2,169101 Ratings†&†13923 Reviews,['1.69 TFT LCD Display' 'In-Built Games|Bluetooth Calling' 'Voice Assistance (AI voice assistance)' 'Noise Health Suite|Weather Report' 'Up to 7-Day Battery' '100+ Watch Faces|IP67 Waterproof' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
Fire-Boltt Hurricane Smartwatch,Fire-Boltt,1799,8999,80% off,4.1,43939 Ratings†&†6832 Reviews,['1.3 Color HD Full Touch Screen with 240*240 pixel resolution' '2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion Recognition' 'SpO2 Monitoring Continuous Heart Rate Tracking|30 Sports Modes | IP67 Water Resistance' 'Superior Battery Life 7 Days & Standby Time 15 Days' 'Find Phone Feature - Use this feature to find your phone|Stay Socially Connected with all Notification Alerts' 'Touchscreen' 'Fitness & Outdoor Health & Medical' 'Battery Runtime: Upto 15 days' 'Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.']
Amazfit GTR 2 (New version)1.39HD AMOLEDBluetooth callingupto 10 days battery life Smartwatch,Amazfit,5999,16999,64% off,4.2,7254 Ratings†&†688 Reviews,['1.39-inch HD AMOLED Screen covered in 2.5D Glass' '3GB Music Storage' 'SpO2 Stress Heart Rate & Sleep Monitoring Wear Detection' '90+ Sports Modes with 5 ATM Water-resistance' '11-day Battery Life 50+ Watch Faces Always-on Display Smart Notifications etc' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 11 days' '1']
Fire-Boltt Ninja Bell Bluetooth Calling & AI Voice Assistance Smartwatch Smartwatch,Fire-Boltt,1999,9999,80% off,4.2,33326 Ratings†&†5420 Reviews,['1.69 LCD Display- OGS Full Touch Display with a High Resolution of 240*280 Pixel & 1.69 inch LCD Screen covered with a 2D High Hard Glass' 'Bluetooth Calling Smartwatch- Answer & Make Calls Directly from The Smartwatch with In Built Speaker & Microphone Listen to Songs and Enjoy HD Calls on this smartwatch. Split Display Easy Access- You can easily in one click land on any function without the need to search it from the menu.' 'Voice Assistant- Command your mobile phone with your smartwatchPlay Games On Your Wrist 60 Sports Modes IP68 Water Resistant- Withstand dust spills raindropssweatproof' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 25 days' 'Covers Manufacturing Defects']
Fire-Boltt Ninja Pro Max Plus 1.83inch Smartwatch 27 sports mode IP68 & Spo2 Monitoring Smartwatch,Fire-Boltt,1599,7999,80% off,4.1,1920 Ratings†&†357 Reviews,['1.83 inch Large Color LCD Full Touch Screen with 2.5D Curved Glass and 240*284 pixel Resolution' 'Ultra Thin 9.8mm and IP68 Water Resistance' 'Smart Health Tracking with SpO2 Heart Rate Sleep Monitoring' '100 + Cloud Faces to match each style | All in One Social Update Notifications' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 8 days' 'Covers Manufacturing Defects']
Fire-Boltt Wonder Smartwatch,Fire-Boltt,1999,11999,83% off,4.1,22108 Ratings†&†4740 Reviews,['Flaunt the 1.8inch (4.57cm) LCD Full Touch Display on your wrist|240*286 Pixel High Resolution Display with 2.5D Lamination| Bluetooth calling smartwatch can make and receive calls on the watch itself' 'Built In Mic & Speaker for HD calling experience| AI Voice Assistant to command your mobile phone & IP67 Water Resistant' 'Smart Calculation on the wrist with the inbuilt calculator| Track SpO2 & Heart Rate Monitoring with Gaming Experience On Your Wrist' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 5 days' 'Covers Manufacturing Defects']
