Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,Whirlpool,15990,21400,25% off,4.2,597 Ratings & 68 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor']
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,Whirlpool,13990,18950,26% off,4.4,479 Ratings & 46 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor']
SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver,SAMSUNG,14590,16800,13% off,4.4,73967 Ratings & 5809 Reviews,['680 rpm Max Speed' '3 Star Rating' '2 Years on Product and 2 Years on Motor from Samsung']
realme TechLife 7 kg with Semi Automatic Top Load White Black,realme,7875,12490,36% off,4.2,9918 Ratings & 1198 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor']
MarQ by Flipkart 6.5 kg with Semi Automatic Top Load Grey White,MarQ,6830,10490,34% off,4.3,53562 Ratings & 6102 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart']
MarQ by Flipkart 7 kg Semi Automatic Top Load Blue White,MarQ,7190,10990,34% off,4.2,7345 Ratings & 851 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart']
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,realme,12590,19990,37% off,4.2,15404 Ratings & 1920 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Motor']
Whirlpool 7.5 kg 5 Star Ace Wash Station Semi Automatic Top Load Grey,Whirlpool,11490,14000,17% off,4.4,23974 Ratings & 2199 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,SAMSUNG,17990,21500,16% off,4.4,73967 Ratings & 5809 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White Maroon,MarQ,6640,10010,33% off,4.3,53562 Ratings & 6102 Reviews,['1350 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart']
IFB 6 kg 5 Star 2X Power SteamHard Water Wash Fully Automatic Front Load with In-built Heater White,IFB,20990,26390,20% off,4.2,7025 Ratings & 587 Reviews,['800 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
Whirlpool 6 kg 5 StarTurbo Scrub Technology Semi Automatic Top Load Grey,Whirlpool,9240,11100,16% off,4.4,66571 Ratings & 6222 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...,SAMSUNG,21990,26500,17% off,4.4,23161 Ratings & 2321 Reviews,['1000 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
IFB 7 kg 5 Star Aqua EnergieHard Water Wash Fully Automatic Front Load with In-built Heater Silver,IFB,26990,34590,21% off,4.3,9741 Ratings & 1018 Reviews,['1000 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
LG 7 kg Steam Fully Automatic Front Load with In-built Heater Silver,LG,29990,41990,28% off,4.4,8149 Ratings & 784 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years on Motor']
SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Grey,SAMSUNG,16190,21500,24% off,4.4,73967 Ratings & 5809 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
Godrej 7 kg Fully Automatic Top Load Grey,Godrej,13990,19890,29% off,4.2,2823 Ratings & 203 Reviews,['720 rpm Max Speed' '2 Years Comprehensive Warranty and 8 Years on Wash Motor']
Haier 6.5 kg Semi Automatic Top Load White Maroon,Haier,9490,14200,33% off,4.3,1794 Ratings & 170 Reviews,['1300 rpm Max Speed' '2 Years Comprehensive Warranty on Product 5 Years Warranty on Wash Motor & Spin Motor from Haier']
LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey White,LG,11490,14190,19% off,4.5,9223 Ratings & 720 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on product and 5 Years on Motor from LG']
SAMSUNG 7 kg Semi Automatic Top Load Grey Purple,SAMSUNG,10490,13500,22% off,4.4,19732 Ratings & 1800 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Motor']
Whirlpool 7 kg 5 Star Hard Water wash Fully Automatic Top Load Grey,Whirlpool,16990,19550,13% off,4.3,30745 Ratings & 2386 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years on Product and 5 Years on Motor']
Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black Grey,Whirlpool,10240,13600,24% off,4.4,6622 Ratings & 619 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor']
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,LG,17990,20990,14% off,4.4,6628 Ratings & 503 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG']
Whirlpool 7 kg with Hard Water Wash Fully Automatic Top Load Grey,Whirlpool,15990,18950,15% off,4.3,30745 Ratings & 2386 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years on Motor from Whirlpool']
IFB 8 kg 5 Star 2X Power Dual SteamHard Water Wash Fully Automatic Front Load with In-built Heater Si...,IFB,36090,43190,16% off,4.4,561 Ratings & 60 Reviews,['1400 RPM Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
IFB 6.5 kg 5 Star Aqua Conserve Hard Water Wash Smart Sense Fully Automatic Top Load White,IFB,15990,19290,17% off,4.3,12711 Ratings & 1080 Reviews,['720 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support']
